label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Ecoli-12C14N-a,nega-Ecoli-12C14N-b,nega-Ecoli-12C14N-c,nega-process-blank-A,nega-process-blank-A-end,nega-process-blank-B,nega-process-blank-B-end,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,,,,,,,,,,,,,,,,,,,,,,
,0,1,9,208.0649,6.853372,0.7928376,,,,,0,0,208.0649,106079.8,108849.5,190861.2,8.463757e+008,7.980849e+008,8.657692e+008,8.145108e+008,4.354098e+007,4.06356e+007,4.030714e+007
,0,2,10,96.96018,13.73618,0.8403284,,,,,0,0,96.96018,1.639258e+008,1.679869e+008,1.724621e+008,3.398636e+007,5.112037e+007,3.196071e+007,5.425881e+007,6.061699e+008,5.728529e+008,5.565564e+008
,0,3,10,265.148,1.939119,0.8375026,,,,,0,0,265.148,2.406476e+008,2.469512e+008,2.445399e+008,4.153438e+008,4.240616e+008,4.139872e+008,4.4328e+008,2.349816e+008,2.287063e+008,2.202773e+008
,0,4,10,255.2332,2.31153,0.8387064,,,,,0,0,255.2332,3.596827e+008,3.540638e+008,3.90462e+008,3.219104e+008,3.870932e+008,3.303882e+008,3.661935e+008,2.778336e+008,2.809023e+008,2.791195e+008
,0,5,10,283.2644,2.276007,0.8380769,,,,,0,0,283.2644,3.853187e+008,3.622647e+008,3.926162e+008,2.740412e+008,3.130837e+008,2.92408e+008,3.246945e+008,2.242105e+008,2.278768e+008,2.058715e+008
,0,6,10,253.2176,2.312465,0.8387601,,,,,0,0,253.2176,2498976,2411164,2812445,1855345,2263795,1962619,2381180,3.596703e+008,3.712255e+008,3.627361e+008
,0,7,10,281.2488,2.280685,0.839156,,,,,0,0,281.2488,9294635,8603651,9526585,8732337,9736665,9357266,9923632,2.985861e+008,3.167852e+008,2.942046e+008
,0,8,9,96.96971,13.93859,0.7982021,,,,,0,0,96.96971,2.367836e+008,2.368416e+008,2.584832e+008,9534163,7665236,9964765,8961606,421378.1,4981942,4674404
,0,9,10,293.1762,2.375265,0.8313339,,,,,0,0,293.1762,4842252,4294464,4962986,4439078,6411798,5116506,5965554,3932219,4836188,4463736
,0,10,10,179.0561,11.62597,0.806788,,,,,0,0,179.0561,8.923373e+007,8.641215e+007,9.199308e+007,2.865609e+007,3.465612e+007,2.884155e+007,3.313517e+007,1.914142e+008,1.861092e+008,1.951407e+008
