"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
2,255.2331,2.309295,"C16H32O2","Palmitic acid",2.29224252158002,NA,395902468.342746,393529833.906737,432617760.110465,265005161.342578,274761391.863926,272180798.733855
3,283.2643,2.273464,"C18H36O2","Stearic acid",2.75028813312534,NA,424119993.618314,402644854.462032,435004535.721997,213858006.113012,222895101.754231,200753689.034757
4,253.2176,2.310853,"C16H30O2","Hypogeic acid",4.31177601063915,NA,2750620.94098293,2679926.52296536,3116087.24109869,343063207.191764,363110003.28364,353718752.819504
5,281.2488,2.2797,"C18H34O2","Oleic acid",4.2781317024442,NA,10230597.5206616,9562664.55091295,10555111.2891958,284799454.080253,309859842.635294,286890894.470556
6,96.97635,12.81224,NA,NA,0,NA,105417.277671721,102880.538673598,86598.2177023739,70787.261848891,72969.122494978,63602.2292657068
7,265.148,1.9362,NA,NA,1.41558961458252,NA,264880626.287441,274477833.427392,270941356.125915,224131675.650537,223706369.936841,214801274.145508
9,179.056,11.63771,"C6H12O6","D-Glucose",3.35501027532888,NA,98219497.2580837,96044156.5532089,101925002.215998,182576012.959774,182040598.566412,190289648.668343
10,156.9907,13.44844,NA,NA,4.19453992258081,NA,184925174.324091,187445386.675705,183072182.072346,33736628.5267451,37348198.9725355,35888378.0833146
11,293.1794,1.914331,NA,NA,3.13043974927877,NA,162337835.643041,160980161.40236,162383838.868945,117464355.003986,120436155.849498,117751658.626175
13,194.9274,13.73497,NA,NA,3.71645002799732,NA,27102054.6692035,26648961.6983714,26883655.7300724,137715244.678584,129986603.652952,125440058.360114
14,194.9464,14.00901,NA,NA,3.05949845664838,NA,147939919.319428,146713941.068313,154707200.904939,276967.486023473,111955.009200166,96407.1927928458
16,372.2758,2.547498,"C20H39NO5","3-hydroxytridecanoyl carnitine",4.85365487134953,NA,256809.749236298,257794.285945628,266595.700521259,118389280.948702,115860814.577523,112764886.341741
17,239.0599,2.503619,"C9H20OS3","Propyl 1-(propylsulfinyl)propyl disulfide",0,NA,76700717.3825225,95791864.912554,115823433.041422,2341148.09514389,11548804.5944303,34485218.8030704
18,426.9679,1.95495,NA,NA,1.65356878134018,NA,94480521.0611797,96132484.7468863,88444561.8126353,95047391.2078708,95474595.8992876,98621054.8389067
19,186.1136,2.487964,"C9H17NO3","N-Heptanoylglycine",3.99430481888149,NA,1464330.62083422,1273736.56687755,1447158.04976208,88189251.8009592,84892260.7444418,78962188.0528223
20,294.244,2.569639,NA,NA,3.78101835121507,NA,5819896.50836341,4939927.89795465,5714130.49740939,80493890.8327661,78662036.0626378,79024772.586195
21,284.2677,2.275022,NA,NA,2.69907859153046,NA,85940768.1551104,79102437.7762722,87331988.8862237,40958195.0590106,42746624.3418129,38595563.8350981
22,227.2018,2.340486,"C14H28O2","Myristic acid",1.80137040090798,NA,60783726.061531,56276974.2867854,62823918.3333333,66928135.4419971,74011730.2457927,66847390.4181823
23,256.2364,2.307736,NA,NA,2.17194621882591,NA,70859207.5442203,67778901.1685946,76396918.0322983,46011484.1296215,47397878.9531324,47707503.2909686
24,176.9354,13.90423,"H4O7P2","Pyrophosphate",3.06823711151882,NA,73266458.758457,70815792.7431594,71831697.2419874,106049.622346254,65235.518296285,33155.2048305279
25,254.2209,2.309295,NA,NA,4.39543917227377,NA,468314.718462361,421422.848252664,475653.289914161,59833218.0454843,64072325.6147346,62274185.0774804
26,282.2521,2.282817,NA,NA,4.31177601063915,NA,1921063.56193449,1941745.34567756,2069680.80468109,57410278.3398574,61891350.3408873,56170779.1195477
27,176.9332,13.75693,NA,NA,1.43918505880295,NA,60120.4337028826,78350.5755654375,83561.7653591857,108722.436084816,206440.071150892,155680.440718836
28,78.95877,13.99713,NA,NA,3.285452309296,NA,60314211.8010556,61101369.7521241,65953882.8209897,1678131.57118436,1135497.66428195,1116711.68475881
29,165.0408,2.409492,"C5H10O6 ; C6H14OS2","Arabinonic acid ; S-Propyl 1-propanesulfinothioate",0,NA,48386341.5823405,55743348.4019676,65437737.8861497,1516339.63713617,6985926.7649231,20283727.2276539
30,216.9094,13.75064,NA,NA,2.34134956317383,NA,15005656.3924863,13351139.358376,12854595.9729797,52487110.3349145,46833003.8922966,35523090.3581442
31,239.0773,11.64087,"C8H16O8","D-glycero-L-galacto-Octulose",3.28746814619679,NA,27267941.0490709,26753572.8672266,26942156.2185548,50393803.6675824,48992988.3110694,52841229.2865162
32,89.02429,11.64245,"C3H6O3","Glyceraldehyde",3.51877242200068,NA,28256853.2587987,28006817.3376296,29122551.4136165,50377340.6152922,51163145.3716304,53085784.8353563
33,157.1234,2.530266,"C9H18O2","Oenanthic ether",2.94749843658622,NA,12646901.9860059,14114872.0248352,16484861.5131786,49934745.8572565,51658494.3383983,50768869.9147733
34,143.1077,4.015551,"C8H16O2","Caprylic acid",4.09939803342955,NA,7972172.94903818,8422748.47628106,8501878.20708137,49558613.7575975,50490205.5545675,48327975.5991605
35,87.00863,4.018712,"C3H4O3","Pyruvic acid",3.42217513901976,NA,1069426.48668655,1122104.8338658,1062314.80220791,31018460.3190984,36364553.4185471,47691715.7622166
37,141.0169,13.82951,NA,NA,2.39093945006991,NA,36142680.7566055,34153712.712506,35894381.8224265,43263680.5201987,45810633.8298086,48937916.387246
38,679.1887,2.306181,"C31H36O17","6-[(2-{[3-(3,4-dimethoxyphenyl)-7-methoxy-8-methyl-4-oxo-4H-chromen-5-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",0,NA,42637994.9262556,46676031.9623472,51388734.7807108,38533967.6870691,43916028.2036858,39555082.830862
39,353.0101,1.895578,NA,NA,1.79320109961845,NA,41628466.6200849,42678189.2151432,40346845.1371151,42557896.3057068,43984087.0898035,41285938.1603414
40,719.488,2.425378,"C38H73O10P","PG(16:0/16:1(9Z))",3.72342331830145,NA,54324613.8893186,44081148.1399108,50800882.428928,80213.160499623,108046.954103952,69296.7587069178
41,312.2548,2.625331,"C18H35NO3","Palmitoylglycine",4.62723524045626,NA,212153.281068289,220639.537547925,236115.17327983,43201691.309982,43103351.5014437,42449076.2962357
42,313.0788,2.4331,NA,NA,0,NA,33738346.3953092,41654429.1054874,49866292.8068691,914646.26606919,4933099.38972554,15323088.7153358
43,205.1598,2.406356,"C14H22O","4-(1,1,3,3-Tetramethylbutyl)-phenol",2.23040115161255,NA,32538044.8998437,28656502.4898917,31722964.6044891,39418603.9835385,40930465.4340953,39701597.7286379
44,88.04028,12.79718,"C3H7NO2","beta-Alanine",4.84915149333048,NA,594588.034000606,569869.453485111,550506.437669525,40768650.5774865,42567810.8182261,42020940.7496899
45,292.9232,14.02116,NA,NA,4.62723524045626,NA,45045631.3852204,46910584.6075183,46797399.2837043,1964.88341354578,2032.57208037541,2403.72195020037
46,280.2648,2.477009,"C18H35NO","Oleamide",2.96078423409605,NA,44966744.2719227,41197638.8571225,43160895.9073282,19250926.1676767,18233883.3035761,18512657.0936203
47,340.2859,2.472314,"C20H39NO3","Stearoylglycine",2.2943415146941,NA,44915077.4504047,41005288.5715076,43261443.6219074,25553051.2598999,24528596.6654856,22911263.4829294
