"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
1,208.0649,6.853372,NA,NA,3.30724999294058,TRUE,106079.8,108849.5,190861.2,846375700,798084900,865769200,814510800,43540980,40635600,40307140
3,265.148,1.939119,NA,NA,0,TRUE,240647600,246951200,244539900,415343800,424061600,413987200,443280000,234981600,228706300,220277300
4,255.2332,2.31153,"C16H32O2","Palmitic acid",2.01869796239387,TRUE,359682700,354063800,390462000,321910400,387093200,330388200,366193500,277833600,280902300,279119500
5,283.2644,2.276007,"C18H36O2","Stearic acid",2.58567858282246,TRUE,385318700,362264700,392616200,274041200,313083700,292408000,324694500,224210500,227876800,205871500
6,253.2176,2.312465,"C16H30O2","Hypogeic acid",4.14507484673079,FALSE,2498976,2411164,2812445,1855345,2263795,1962619,2381180,359670300,371225500,362736100
7,281.2488,2.280685,"C18H34O2","Oleic acid",4.09982411227219,FALSE,9294635,8603651,9526585,8732337,9736665,9357266,9923632,298586100,316785200,294204600
8,96.96968,13.957725,"H3O4P","Hydrogen phosphate",3.21421475062646,FALSE,236783600,236841600,258483200,9534163,7665236,9964765,8961606,7301042,4981942,4674404
9,293.1762,2.375265,"C17H26O4","Gingerol",0,TRUE,4842252,4294464,4962986,4439078,6411798,5116506,5965554,3932219,4836188,4463736
10,179.0561,11.62597,"C6H12O6","D-Glucose",3.19824652535743,FALSE,89233730,86412150,91993080,28656090,34656120,28841550,33135170,191414200,186109200,195140700
11,293.1795,1.920387,NA,NA,2.68340069790614,TRUE,147486000,144835600,146560500,189842000,189571600,187603600,196870500,123150400,123127600,120753400
13,156.9908,13.42921,NA,NA,4.14507484673079,FALSE,168007000,168647000,165233000,23388680,30191750,23617720,30899750,35369760,38182930,36803280
14,224.0599,11.10415,NA,NA,2.26920965202049,TRUE,15614.26,40913.86,89559.98,119685000,141948500,114145600,139452700,5047596,5022120,5550984
15,194.9274,13.73446,NA,NA,3.61528825706172,FALSE,24622580,23976410,24264020,554658.8,3128286,524014.8,2967227,144381800,132891800,128637900
16,194.9464,13.9759,NA,NA,3.00317760326107,FALSE,134405600,132000600,139632100,538508.2,272107.8,548901,413234.2,290460.8,114457.2,98864.9
17,239.0599,2.505272,"C9H20OS3","Propyl 1-(propylsulfinyl)propyl disulfide",0,TRUE,69683630,86185160,104537200,30968070,110679000,51490360,132330400,2454479,11806920,35364350
18,426.9679,1.95879,NA,NA,1.91182846013565,TRUE,85838700,86491980,79826530,124065000,131087500,120813500,122056000,99649660,97608830,101136400
19,372.2759,2.537253,"C20H39NO5","3-hydroxytridecanoyl carnitine",4.73320404015333,FALSE,233315.1,231940.8,240617.7,52874.47,58260.06,52593.42,60678.31,124120300,118450300,115639600
20,141.0169,13.86554,NA,NA,2.40197592766581,TRUE,32836110,30728530,32396710,65398640,95501290,65982580,98828310,45358000,46834500,50185490
21,186.1137,2.510147,"C9H17NO3","N-Heptanoylglycine",3.8677082840332,FALSE,1330364,1145997,1306143,23749.04,59496.02,13288.27,69119.48,92458360,86789630,80975190
22,294.2444,2.562788,NA,NA,3.70040554607508,FALSE,5287454,4444516,5157326,222,274,5052.694,4717.114,84390460,80420130,81039350
23,227.2019,2.343349,"C14H28O2","Myristic acid",1.71166133060484,TRUE,55222830,50633110,56702140,71927990,80714680,75870260,78248810,70168010,75665890,68551530
24,284.2678,2.276942,NA,NA,2.56080946217243,TRUE,78078340,71169470,78822060,54360780,61712500,57895570,63822290,42940910,43702010,39579480
25,205.1599,2.411092,"C14H22O","4-(1,1,3,3-Tetramethylbutyl)-phenol",2.19303357976947,TRUE,29561270,25782770,28632060,45200650,73065670,41097060,71026500,41326840,41845410,40714030
26,256.2365,2.30966,NA,NA,1.95452054688922,TRUE,64376540,60981540,68952540,55560560,67691750,57751940,64568030,48238820,48457220,48923710
27,209.0677,6.281144,"C7H14O7 ; C8H10N4O3","Sedoheptulose ; 1,3,7-Trimethyluric acid",3.09874879436078,TRUE,50069.52,27894.02,25833.85,61645860,61452160,64829900,61891830,3316619,3068938,3060113
28,176.9333,13.73693,NA,NA,1.39168795730267,FALSE,54620.22,70493.01,75419.22,1647,8691.508,1952,18447.56,113985.5,211054,159649.2
29,254.2209,2.30966,NA,NA,4.28515911328408,FALSE,425512.3,379180.9,429359.8,336416.4,405725.5,396620.6,403658.4,62729720,65504400,63861760
30,176.9356,13.91903,"H4O7P2","Pyrophosphate",2.99306354863571,FALSE,66563950,63715220,64843760,281269.7,75294.09,260658.4,121780.7,113784,66693.53,34000.43
31,282.2522,2.283489,NA,NA,4.10327541917186,FALSE,1745416,1747021,1868037,1522277,1816181,1645897,1860215,60189450,63274640,57602750
32,165.0409,2.410142,"C5H10O6 ; C6H14OS2","Arabinonic acid ; S-Propyl 1-propanesulfinothioate",0,TRUE,43959640,50153000,59061260,18409990,59779070,23897940,65518530,1589743,7142062,20800820
34,78.95878,13.97569,NA,NA,3.20165325986316,FALSE,54799520,54975210,59527440,2145124,1483737,2214099,1837633,1760584,1161272,1145715
35,266.1481,1.90916,NA,NA,0,TRUE,503444.8,1475306,507862.2,988187.5,1320898,793973.4,1259148,1118726,1156947,1168465
36,216.9094,13.74486,NA,NA,2.30970643623352,FALSE,13632840,12012190,11602000,1852059,264561.3,1786270,252697.6,55027920,47879720,36428680
37,239.0773,11.62895,"C8H16O8","D-glycero-L-galacto-Octulose",3.24913690906929,FALSE,24773290,24070530,24316820,8066228,10587040,8075294,9682315,52833280,50087980,54188310
38,89.02431,11.63184,"C3H6O3","Glyceraldehyde",3.35449913242756,FALSE,25671730,25198090,26284750,8610401,9145119,8275410,8812017,52816020,52306640,54439100
39,417.1383,6.950228,"C18H26O11","Oleoside dimethyl ester",2.61007235261905,TRUE,1599,1600,425,49956780,47291500,50683820,51528360,346566.4,337047.2,343979.8
40,157.1234,2.53632,"C9H18O2","Oenanthic ether",2.82425631557824,TRUE,11489880,12699330,14878520,9064437,23651420,11693750,21885210,52352000,52813060,52063120
41,679.1888,2.309667,"C31H36O17","6-[(2-{[3-(3,4-dimethoxyphenyl)-7-methoxy-8-methyl-4-oxo-4H-chromen-5-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",0,TRUE,38737190,41995020,46381240,47249120,49600790,42747900,47251580,40399330,44897550,40563460
42,143.1077,4.012595,"C8H16O2","Caprylic acid",3.84475508282381,FALSE,7242826,7578054,7673426,4592914,6748888,5146392,6444098,51957660,51618660,49560000
43,87.00864,4.017347,"C3H4O3","Pyruvic acid",3.37691618664045,FALSE,971588.3,1009572,958799.2,272227.5,576849.2,276346.5,652310.6,32520010,37177300,48907520
44,353.0101,1.895102,NA,NA,1.86147626272084,TRUE,37820020,38398110,36415310,51217790,52307600,52006430,54252750,44618050,44967130,42338440
46,313.0789,2.440348,NA,NA,0,TRUE,30652450,37477570,45007660,12548310,46423440,19709180,48588400,959343,5043961,15714200
47,417.0226,1.87635,"C17H14Cl2F2N2O4","Roflumilast N-oxide",0,TRUE,36537180,37118410,36087360,48144280,47622920,49303780,50634160,41178760,41355230,38833740
48,321.207,2.515588,"C19H30O4","(S)-[8]-Gingerol",0,TRUE,62654.94,125498.4,113740.2,98407.75,213397.2,134286.8,151248,146048.5,154423.9,138754.7
49,719.48935,2.43843,"C38H73O10P","PG(16:0/16:1(9Z))",3.65241631369142,FALSE,49354640,39660370,45850670,2383,2455,4119.703,1196,84096.14,110461.8,71063.34
50,312.2549,2.536812,"C18H35NO3","Palmitoylglycine",4.28515911328408,FALSE,192744.1,198512.2,213107.3,35090.57,38953.77,33972.61,28576.47,45293010,44066710,43531230
51,223.0285,2.505267,NA,NA,0,TRUE,23640440,29894380,37679210,10736070,40701330,17656600,43866360,819382.9,3864717,12225700
52,481.0349,1.869777,NA,NA,1.41835749266201,TRUE,30787120,32331990,30788060,39563440,42781370,42301900,43184360,35174350,34307470,34819450
53,88.0403,12.81682,"C3H7NO2","beta-Alanine",4.83657025669853,FALSE,540191.2,512718.8,496863.2,18933.65,29340.9,16542.3,28866.92,42742190,43519200,43092180
54,615.1764,2.317153,NA,NA,0,TRUE,29488950,29562760,31243170,38586240,41666010,35546130,40665940,33337210,32795430,29234680
55,292.9234,13.98196,NA,NA,3.65241631369142,FALSE,40924560,42206050,42237300,19358.82,7068.748,16910.65,13441.4,1186,2497,2240
56,280.2648,2.582906,"C18H35NO","Oleamide",2.90104493956153,FALSE,40852890,37066040,38955150,3117.073,1139,1404,976,20182830,18641410,18984600
57,340.2859,2.461975,"C20H39NO3","Stearoylglycine",2.20348117122851,FALSE,40804170,36893980,39047050,7370.322,15897.88,11325.68,18017.55,26790900,25076970,23495730
58,743.2013,2.294708,"C32H40O20","3,4,5-trihydroxy-6-{3-[(E)-2-(2-hydroxy-4-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)ethenyl]-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenoxy}oxane-2-carboxylic acid",0,TRUE,31438060,33695980,38910120,37144740,38060540,31484990,37296400,32592390,34445000,31715100
60,210.0606,6.542019,NA,NA,2.81718604874263,TRUE,4603.557,2538.163,8714.445,37848090,35433400,38564580,36776100,1948182,1819705,1764027
61,208.0621,7.206094,"C10H11NO4","Hydroxyphenylacetylglycine",0,TRUE,6935.971,4578.24,2436,7979038,1758,952,13745760,2181,1955,2489
62,161.0455,11.6603,"C6H10O5","2-Hydroxyadipic acid",3.20466927810896,FALSE,16817100,16415990,16882310,4754934,5328250,4491566,5091258,36776440,34749120,34506160
63,313.2175,3.822398,"C21H30O2","Progesterone",0,TRUE,35658070,34336760,35359650,35680820,27154350,34870880,26896620,36171580,35289120,36403580
64,299.2018,3.829043,"C20H28O2","All-trans-retinoic acid",0,TRUE,34549660,31410440,33104430,34247180,19891250,34436370,18919330,37082030,32967450,34541190
65,75.00841,2.814768,"C2H4O3","Peracetic acid",0,TRUE,34501680,31674670,35460740,30321040,19414760,32425630,17775530,31451970,30137800,23243970
66,222.0442,6.532464,NA,NA,3.28508375200642,TRUE,9377.053,6464.526,11080.67,34923530,33811820,31627000,33227090,976300,924581.8,862676.8
68,266.1514,1.942867,NA,NA,0,TRUE,31163480,31689820,32131710,53186380,53336580,54541470,56802020,30608830,29881830,28821070
69,253.1447,4.005963,NA,NA,1.69669592256107,TRUE,20366920,21365570,19074200,32262660,25633010,28348630,23655080,24457890,25879130,23969710
71,288.9977,1.909152,NA,NA,1.49398230014887,TRUE,23898390,22543380,22220930,31568220,29354320,29695910,31062830,26640910,26178350,25226120
72,113.0244,11.63751,"C5H6O3","Norfuraneol",3.62817509267111,FALSE,14384540,14400830,14314750,4845786,5425578,4752792,5200212,30007570,29646010,31015860
73,294.1796,2.378092,NA,NA,0,TRUE,805377.2,737411.2,813267.6,766122.8,1085165,929815.9,1046248,663031.8,751017.2,747273.5
74,146.0458,13.36515,"C5H9NO4","L-Glutamic acid",2.23732893710559,FALSE,15569380,16280980,17690960,22597.97,45139.61,26153.52,44772.29,26550660,26565900,28813720
75,367.1053,11.65205,NA,NA,1.60876487434669,FALSE,22015490,21474400,22582210,10756380,11124300,10362890,10757230,29328460,26316650,27893800
76,98.95595,13.752,NA,NA,3.43416398296732,FALSE,7696588,7834418,8091318,1552106,2483607,1481950,2515122,28001330,26718360,25861140
77,545.0474,1.851912,NA,NA,1.33512308016879,TRUE,18147650,18191920,18928690,23996720,27064540,25920880,25101970,20897530,20413550,21660510
78,359.1197,11.62233,NA,NA,3.15678591503665,FALSE,10080960,9540579,9816360,2093860,2464310,2046180,2486471,27028920,24330550,26223680
79,373.2717,2.571686,NA,NA,3.13752871547496,FALSE,7022.986,3535.242,4273.478,1781,459,1709,6665.244,1681961,1299019,1060039
80,373.2787,2.5358395,NA,NA,2.91531650209675,FALSE,38358.22,16098.91,54743.8,3367.145,8470.718,4050.103,21161.91,27315170,26057680,25185980
81,119.0349,11.6268,"C4H8O4","(S)-3,4-Dihydroxybutyric acid",3.15805893950313,FALSE,12224080,11933970,12854650,3858729,4396044,3907361,4288953,25745330,25570370,25867580
82,182.0491,11.45279,NA,NA,1.90139088069971,TRUE,2566.012,19132.11,42242.91,26480560,25866630,26029010,26162820,3963330,3692906,3627862
83,807.2134,2.28536,NA,NA,0,TRUE,21779750,22750860,23838460,22226410,23697970,20760450,23721350,22319790,21383830,18795910
84,567.2299,2.479885,NA,NA,3.2800972128861,FALSE,24520440,21296570,25404610,296469.9,387921.3,351576.8,442303.6,275281.1,231353.2,160431.6
85,311.169,1.970977,"C17H28O3S","N-Undecylbenzenesulfonic acid",3.05154302011918,TRUE,18233430,17827170,18879560,21229150,24809490,20744690,23425230,11007120,11097890,10878940
86,225.0622,2.638675,"C8H10N4O4","5-Acetylamino-6-formylamino-3-methyluracil",0,TRUE,7427902,9207972,12445520,3572010,23854920,5909670,24731930,344139.4,1974532,6280424
87,101.0244,11.64515,"C4H6O3","2-Ketobutyric acid",3.00317760326107,FALSE,10943350,10990630,11456060,3642237,4042566,3524227,3866619,24701720,23482140,22687910
88,325.1845,1.970372,"C18H30O3S","2-Dodecylbenzenesulfonic acid",3.13883612209878,TRUE,19445220,19611320,19562580,21552950,24254710,20029810,22344910,12317700,11787160,11999640
89,352.9451,13.51831,NA,NA,3.94981365032464,FALSE,23232050,22872910,24338650,467406.9,313002.4,558271.2,324625.1,732989.2,857352,769673.1
90,71.01343,11.62617,NA,NA,3.19182279934392,FALSE,11327540,11616750,12073030,3871407,4210866,3862328,4141183,23777820,23674910,24188510
91,94.98066,4.698497,NA,NA,0,TRUE,6395984,5398172,5164482,5887190,4364864,6203030,4221626,4713550,4858784,4842584
92,301.2174,6.322683,"C20H30O2","Eicosapentaenoic acid",0,TRUE,3991127,3911407,3944134,4686662,4049589,4249236,4267254,3835285,3986560,4078414
