"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
1,208.0649,6.853372,NA,NA,3.32611321180079,TRUE,114115.621653834,121214.307462879,207539.895708664,846375700,798084900,865769200,814510800,39885978.7830139,38285642.2413779,39268854.4857775
3,265.148,1.939119,NA,NA,0,TRUE,258877283.644042,275003731.621431,265909390.397876,415343800,424061600,413987200,443280000,215256319.724514,215480208.982992,214603101.09375
4,255.2332,2.31153,"C16H32O2","Palmitic acid",2.01297761136943,TRUE,386929603.078338,394283835.154735,424583114.630927,321910400,387093200,330388200,366193500,254511154.200212,264657713.004858,271929564.579451
5,283.2644,2.276007,"C18H36O2","Stearic acid",2.58883502624481,TRUE,414507596.972724,403416320.045086,426925562.668221,274041200,313083700,292408000,324694500,205389388.248242,214698678.988622,200568385.06202
6,253.2176,2.312465,"C16H30O2","Hypogeic acid",4.08436804023222,FALSE,2688279.95280922,2685061.24915066,3058214.77590182,1855345,2263795,1962619,2381180,329478159.533392,349757520.102487,353392255.755145
7,281.2488,2.280685,"C18H34O2","Oleic acid",4.08436804023222,FALSE,9998727.85460082,9580986.56968848,10359080.0925475,8732337,9736665,9357266,9923632,273521607.678625,298465504.005437,286626082.288308
8,96.96968,13.957725,"H3O4P","Hydrogen phosphate",3.22538815676585,FALSE,254720575.561349,263745727.103939,281071146.83572,9534163,7665236,9964765,8961606,6688163.80122572,4693836.1702373,4553994.41597038
9,293.1762,2.375265,"C17H26O4","Gingerol",0,TRUE,5209065.22433603,4782295.55197098,5396684.06592622,4439078,6411798,5116506,5965554,3602133.0618687,4556511.12768225,4348753.08560534
10,179.0561,11.62597,"C6H12O6","D-Glucose",3.21128733367774,FALSE,95993417.8933255,96228176.6900943,100032034.950628,28656090,34656120,28841550,33135170,175346138.740276,175346500.335397,190114003.438417
11,293.1795,1.920387,NA,NA,2.67732596824858,TRUE,158658449.348862,161288264.530113,159367911.786207,189842000,189571600,187603600,196870500,112812670.764867,116007127.829772,117642871.542433
13,156.9908,13.42921,NA,NA,4.08436804023222,FALSE,180733968.646205,187804531.125013,179672136.545456,23388680,30191750,23617720,30899750,32400683.1476988,35974810.2084767,35855251.6233929
14,224.0599,11.10415,NA,NA,2.260340647157,TRUE,16797.0809387329,45561.4881605629,97386.3148134351,119685000,141948500,114145600,139452700,4623880.92691588,4731690.67549806,5407994.28956952
15,194.9274,13.73446,NA,NA,3.6190836025393,FALSE,26487804.6849755,26700020.9793894,26384368.2229438,554658.8,3128286,524014.8,2967227,132261823.492566,125206663.900933,125324271.988933
16,194.9464,13.9759,NA,NA,3.01210145858804,FALSE,144587174.916964,146995266.985007,151834063.034193,538508.2,272107.8,548901,413234.2,266078.377337791,107838.137277408,96318.2049594921
17,239.0599,2.505272,"C9H20OS3","Propyl 1-(propylsulfinyl)propyl disulfide",0,TRUE,74962346.8044412,95975401.6598829,113672341.920074,30968070,110679000,51490360,132330400,2248440.37312328,11124125.5227576,34453387.517301
18,426.9679,1.95879,NA,NA,1.90773563921165,TRUE,92341205.5118597,96317075.0145217,86802292.5088206,124065000,131087500,120813500,122056000,91284675.3677695,91964108.9335331,98531192.6079445
19,372.2759,2.537253,"C20H39NO5","3-hydroxytridecanoyl carnitine",4.73320404015333,FALSE,250989.327635671,258288.218543825,261644.442996578,52874.47,58260.06,52593.42,60678.31,113701153.54182,111600316.205098,112660799.679499
20,141.0169,13.86554,NA,NA,2.3931781139833,TRUE,35323531.014799,34219151.0599709,35227745.6848423,65398640,95501290,65982580,98828310,41550470.9733208,44126059.700209,48892744.6627928
21,186.1137,2.510147,"C9H17NO3","N-Heptanoylglycine",3.91399629438162,FALSE,1431142.54444184,1276177.0399454,1420282.28891258,23749.04,59496.02,13288.27,69119.48,84697041.3911735,81770583.5386105,78889322.1664495
22,294.2444,2.562788,NA,NA,3.70370784900514,FALSE,5687992.43754279,4949392.77578386,5608006.76185406,818,1559,5052.694,4717.114,77306392.668442,75769431.8820223,78951829.4468918
23,227.2019,2.343349,"C14H28O2","Myristic acid",1.71018816088238,TRUE,59406103.4705382,56384800.6958394,61657142.5835007,71927990,80714680,75870260,78248810,64277831.0939787,71290129.6994619,66785687.5071615
24,284.2678,2.276942,NA,NA,2.56485667449369,TRUE,83992977.9920345,79253997.66237,85710045.3729832,54360780,61712500,57895570,63822290,39336281.0203929,41174721.6748152,38559938.5305616
25,205.1599,2.411092,"C14H22O","4-(1,1,3,3-Tetramethylbutyl)-phenol",2.18348031034895,TRUE,31800613.3394561,28711575.2486203,31134116.0294717,45200650,73065670,41097060,71026500,37857702.408375,39425488.8989895,39665263.2660015
26,256.2365,2.30966,NA,NA,1.94915641904308,TRUE,69253230.8886604,67908765.2136193,74978062.3848507,55560560,67691750,57751940,64568030,44189463.6050365,45654937.7622514,47663467.2887825
27,209.0677,6.281144,"C7H14O7 ; C8H10N4O3","Sedoheptulose ; 1,3,7-Trimethyluric acid",3.11051901291221,TRUE,53862.4167910298,31062.6536332799,28091.380200655,61645860,61452160,64829900,61891830,3038208.94856617,2891461.2391344,2981286.49432919
28,176.9333,13.73693,NA,NA,1.38745984025249,FALSE,58757.8441905922,78500.6948871957,82009.8430337269,270,8691.508,65,18447.56,104417.108539386,198848.741931011,155536.741221798
29,254.2209,2.30966,NA,NA,4.18390459441326,FALSE,457745.967053603,422254.123323039,466880.057934733,336416.4,405725.5,396620.6,403658.4,57463940.4300133,61716278.9188819,62216722.9092822
30,176.9356,13.91903,"H4O7P2","Pyrophosphate",3.00333512597091,FALSE,71606342.9039717,70952978.811524,70510230.4070058,281269.7,75294.09,260658.4,121780.7,104232.52324239,62836.6415014078,33124.6012027612
31,282.2522,2.283489,NA,NA,4.08436804023222,FALSE,1877635.81647541,1945474.62908058,2031278.24911467,1522277,1816181,1645897,1860215,55136910.691061,59615465.9951368,56118940.9055224
32,165.0409,2.410142,"C5H10O6 ; C6H14OS2","Arabinonic acid ; S-Propyl 1-propanesulfinothioate",0,TRUE,47289697.4379548,55850152.3864213,64222417.8660842,18409990,59779070,23897940,65518530,1456293.71613695,6729036.37691433,20265004.5070141
34,78.95878,13.97569,NA,NA,3.21321309772845,FALSE,58950726.6334563,61220143.4804601,64729335.7130927,2145124,1483737,2214099,1837633,1612793.65025118,1094115.61135875,1116202.13235602
35,266.1481,1.90916,NA,NA,0,TRUE,541582.057285083,1642894.0425618,552242.50933334,988187.5,1320898,793973.4,1259148,1024815.73680716,1090040.72621631,1138366.10726348
36,216.9094,13.74486,NA,NA,2.30068269897862,FALSE,14665563.2034304,13376720.076459,12615858.383013,1852059,264561.3,1786270,252697.6,50408659.8324931,45110834.601614,35490301.0739276
37,239.0773,11.62895,"C8H16O8","D-glycero-L-galacto-Octulose",3.25776991660365,FALSE,26649931.360737,26804832.5827354,26441782.2310996,8066228,10587040,8075294,9682315,48398246.5511119,47191390.8708938,52792454.6425323
38,89.02431,11.63184,"C3H6O3","Glyceraldehyde",3.37232696823338,FALSE,27616430.5351196,28060478.263449,28581682.781667,8610401,9145119,8275410,8812017,48382435.4234387,49281745.7079149,53036784.4564682
39,417.1383,6.950228,"C18H26O11","Oleoside dimethyl ester",3.96401024306357,TRUE,2391.39805067952,1905.36180753229,2098.65597993579,49956780,47291500,50683820,51528360,317474.252469868,317555.752041514,335119.105752649
40,157.1234,2.53632,"C9H18O2","Oenanthic ether",2.82350358846963,TRUE,12360268.3916067,14141916.050993,16178702.0573027,9064437,23651420,11693750,21885210,47957367.0883922,49758879.4267201,50722008.1443529
