HMDB_ID,Name,MF,Exact_Mass,category
HMDB0000002,"1,3-Diaminopropane",C3H10N2,74.08439833,0
HMDB0000005,2-Ketobutyric acid,C4H6O3,102.0316941,0
HMDB0000008,2-Hydroxybutyric acid,C4H8O3,104.0473441,0
HMDB0000010,2-Methoxyestrone,C19H24O3,300.1725446,0
HMDB0000012,Deoxyuridine,C9H12N2O5,228.0746215,0
HMDB0000014,Deoxycytidine,C9H13N3O4,227.0906059,0
HMDB0000015,Cortexolone,C21H30O4,346.2144094,0
HMDB0000016,Deoxycorticosterone,C21H30O3,330.2194948,0
HMDB0000017,4-Pyridoxic acid,C8H9NO4,183.0531578,0
HMDB0000020,p-Hydroxyphenylacetic acid,C8H8O3,152.0473441,0
HMDB0000021,Iodotyrosine,C9H10INO3,306.9705366,0
HMDB0000022,3-Methoxytyramine,C9H13NO2,167.0946287,0
HMDB0000024,3-O-Sulfogalactosylceramide (d18:1/24:0),C48H93NO11S,891.6469335,0
HMDB0000026,Ureidopropionic acid,C4H8N2O3,132.0534921,0
HMDB0000027,Tetrahydrobiopterin,C9H15N5O3,241.1174894,0
HMDB0000030,Biotin,C10H16N2O3S,244.0881631,0
HMDB0000031,Androsterone,C19H30O2,290.2245802,0
HMDB0000032,7-Dehydrocholesterol,C27H44O,384.339216,0
HMDB0000033,Carnosine,C9H14N4O3,226.1065903,0
HMDB0000034,Adenine,C5H5N5,135.0544952,0
HMDB0000036,Taurocholic acid,C26H45NO7S,515.2916735,0
HMDB0000037,Aldosterone,C21H28O5,360.193674,0
HMDB0000038,Dihydrobiopterin,C9H13N5O3,239.1018393,0
HMDB0000039,Butyric acid,C4H8O2,88.0524295,0
HMDB0000042,Acetic acid,C2H4O2,60.02112937,0
HMDB0000043,Betaine,C5H11NO2,117.0789786,0
HMDB0000044,Ascorbic acid,C6H8O6,176.032088,0
HMDB0000045,Adenosine monophosphate,C10H14N5O7P,347.0630843,0
HMDB0000048,Melibiose,C12H22O11,342.1162115,0
HMDB0000050,Adenosine,C10H13N5O4,267.0967539,0
HMDB0000052,Argininosuccinic acid,C10H18N4O6,290.1226343,0
HMDB0000053,Androstenedione,C19H26O2,286.1932801,0
HMDB0000054,Bilirubin,C33H36N4O6,584.2634849,0
HMDB0000056,beta-Alanine,C3H7NO2,89.04767847,0
HMDB0000058,Cyclic AMP,C10H12N5O6P,329.0525197,0
HMDB0000061,"Adenosine 3',5'-diphosphate",C10H15N5O10P2,427.0294147,0
HMDB0000062,L-Carnitine,C7H15NO3,161.1051934,0
HMDB0000064,Creatine,C4H9N3O2,131.0694765,0
HMDB0000068,Epinephrine,C9H13NO3,183.0895433,0
HMDB0000070,Pipecolic acid,C6H11NO2,129.0789786,0
HMDB0000071,Deoxyinosine,C10H12N4O4,252.0858549,0
HMDB0000072,cis-Aconitic acid,C6H6O6,174.0164379,0
HMDB0000073,Dopamine,C8H11NO2,153.0789786,0
HMDB0000076,Dihydrouracil,C4H6N2O2,114.0429274,0
HMDB0000077,Dehydroepiandrosterone,C19H28O2,288.2089301,0
HMDB0000078,Cysteinylglycine,C5H10N2O3S,178.0412129,0
HMDB0000079,Dihydrothymine,C5H8N2O2,128.0585775,0
HMDB0000082,Cytidine triphosphate,C9H16N3O14P3,482.9845118,0
HMDB0000086,Glycerophosphocholine,C8H20NO6P,257.1028239,0
HMDB0000087,Dimethylamine,C2H7N,45.05784923,0
HMDB0000089,Cytidine,C9H13N3O5,243.0855205,0
HMDB0000092,Dimethylglycine,C4H9NO2,103.0633285,0
HMDB0000094,Citric acid,C6H8O7,192.0270026,0
HMDB0000095,Cytidine monophosphate,C9H14N3O8P,323.051851,0
HMDB0000097,Choline,C5H13NO,103.099714,0
HMDB0000098,D-Xylose,C5H10O5,150.0528234,0
HMDB0000099,L-Cystathionine,C7H14N2O4S,222.0674276,0
HMDB0000101,Deoxyadenosine,C10H13N5O3,251.1018393,0
HMDB0000107,Galactitol,C6H14O6,182.0790382,0
HMDB0000108,Ethanol,C2H6O,46.04186481,0
HMDB0000114,Glycerylphosphorylethanolamine,C5H14NO6P,215.0558737,0
HMDB0000118,Homovanillic acid,C9H10O4,182.0579088,0
HMDB0000119,Glyoxylic acid,C2H2O3,74.00039393,0
HMDB0000121,Folic acid,C19H19N7O6,441.1396814,0
HMDB0000122,D-Glucose,C6H12O6,180.0633881,0
HMDB0000123,Glycine,C2H5NO2,75.03202841,0
HMDB0000124,Fructose 6-phosphate,C6H13O9P,260.0297185,0
HMDB0000125,Glutathione,C10H17N3O6S,307.083806,0
HMDB0000126,Glycerol 3-phosphate,C3H9O6P,172.0136745,0
HMDB0000127,D-Glucuronic acid,C6H10O7,194.0426527,0
HMDB0000128,Guanidoacetic acid,C3H7N3O2,117.0538265,0
HMDB0000131,Glycerol,C3H8O3,92.04734412,0
HMDB0000132,Guanine,C5H5N5O,151.0494098,0
HMDB0000133,Guanosine,C10H13N5O5,283.0916686,0
HMDB0000134,Fumaric acid,C4H4O4,116.0109586,0
HMDB0000138,Glycocholic acid,C26H43NO6,465.3090381,0
HMDB0000140,Glucosylceramide,C48H93NO8,811.690119,0
HMDB0000142,Formic acid,CH2O2,46.00547931,0
HMDB0000145,Estrone,C18H22O2,270.1619799,0
HMDB0000148,L-Glutamic acid,C5H9NO4,147.0531578,0
HMDB0000149,Ethanolamine,C2H7NO,61.05276385,0
HMDB0000150,Gluconolactone,C6H10O6,178.0477381,0
HMDB0000151,Estradiol,C18H24O2,272.17763,0
HMDB0000152,Gentisic acid,C7H6O4,154.0266087,0
HMDB0000153,Estriol,C18H24O3,288.1725446,0
HMDB0000156,L-Malic acid,C4H6O5,134.0215233,0
HMDB0000157,Hypoxanthine,C5H4N4O,136.0385108,0
HMDB0000158,L-Tyrosine,C9H11NO3,181.0738932,0
HMDB0000164,Methylamine,CH5N,31.04219917,0
HMDB0000167,L-Threonine,C4H9NO3,119.0582432,0
HMDB0000172,L-Isoleucine,C6H13NO2,131.0946287,0
HMDB0000174,L-Fucose,C6H12O5,164.0684735,0
HMDB0000175,Inosinic acid,C10H13N4O8P,348.0470999,0
HMDB0000177,L-Histidine,C6H9N3O2,155.0694765,0
HMDB0000181,L-Dopa,C9H11NO4,197.0688078,0
HMDB0000182,L-Lysine,C6H14N2O2,146.1055277,0
HMDB0000187,L-Serine,C3H7NO3,105.0425931,0
HMDB0000189,Inosine triphosphate,C10H15N4O14P3,507.9797607,0
HMDB0000191,L-Aspartic acid,C4H7NO4,133.0375077,0
HMDB0000192,L-Cystine,C6H12N2O4S2,240.0238483,0
HMDB0000194,Anserine,C10H16N4O3,240.1222404,0
HMDB0000195,Inosine,C10H12N4O5,268.0807695,0
HMDB0000197,Indoleacetic acid,C10H9NO2,175.0633285,0
HMDB0000201,L-Acetylcarnitine,C9H17NO4,203.115758,0
HMDB0000202,Methylmalonic acid,C4H6O4,118.0266087,0
HMDB0000205,Phenylpyruvic acid,C9H8O3,164.0473441,0
HMDB0000206,N6-Acetyl-L-lysine,C8H16N2O3,188.1160924,0
HMDB0000207,Oleic acid,C18H34O2,282.2558803,0
HMDB0000208,Oxoglutaric acid,C5H6O5,146.0215233,0
HMDB0000209,Phenylacetic acid,C8H8O2,136.0524295,0
HMDB0000210,Pantothenic acid,C9H17NO5,219.1106727,0
HMDB0000212,N-Acetylgalactosamine,C8H15NO6,221.0899372,0
HMDB0000214,Ornithine,C5H12N2O2,132.0898776,0
HMDB0000216,Norepinephrine,C8H11NO3,169.0738932,0
HMDB0000217,NADP,C21H28N7O17P3,743.0754523,0
HMDB0000218,Orotidylic acid,C10H13N2O11P,368.0256958,0
HMDB0000220,Palmitic acid,C16H32O2,256.2402303,0
HMDB0000221,NADPH,C21H30N7O17P3,745.0911021,0
HMDB0000222,L-Palmitoylcarnitine,C23H45NO4,399.3348589,0
HMDB0000223,Oxalacetic acid,C4H4O5,132.0058732,0
HMDB0000224,O-Phosphoethanolamine,C2H8NO4P,141.0190943,0
HMDB0000225,Oxoadipic acid,C6H8O5,160.0371734,0
HMDB0000226,Orotic acid,C5H4N2O4,156.0171066,0
HMDB0000227,Mevalonic acid,C6H12O4,148.0735589,0
HMDB0000228,Phenol,C6H6O,94.04186481,0
HMDB0000229,Nicotinamide ribotide,C11H15N2O8P,334.056602,0
HMDB0000230,N-Acetylneuraminic acid,C11H19NO9,309.1059812,0
HMDB0000232,Quinolinic acid,C7H5NO4,167.0218577,0
HMDB0000235,Thiamine,C12H16N4OS,264.1044821,0
HMDB0000237,Propionic acid,C3H6O2,74.03677944,0
HMDB0000238,Sepiapterin,C9H11N5O3,237.0861892,0
HMDB0000240,Sulfite,H2O3S,81.97246492,0
HMDB0000241,Protoporphyrin IX,C34H34N4O4,562.2580056,0
HMDB0000243,Pyruvic acid,C3H4O3,88.01604399,0
HMDB0000244,Riboflavin,C17H20N4O6,376.1382844,0
HMDB0000245,Porphobilinogen,C10H14N2O4,226.0953569,0
HMDB0000246,Tetrahydrofuran,C4H8O,72.05751488,0
HMDB0000248,Thyroxine,C15H11I4NO4,776.6866815,0
HMDB0000250,Pyrophosphate,H4O7P2,177.9432257,0
HMDB0000251,Taurine,C2H7NO3S,125.0146638,0
HMDB0000252,Sphingosine,C18H37NO2,299.2824294,0
HMDB0000253,Pregnenolone,C21H32O2,316.2402303,0
HMDB0000256,Squalene,C30H50,410.3912516,0
HMDB0000257,Thiosulfate,H2O3S2,113.9445359,0
HMDB0000259,Serotonin,C10H12N2O,176.094963,0
HMDB0000262,Thymine,C5H6N2O2,126.0429274,0
HMDB0000263,Phosphoenolpyruvic acid,C3H5O6P,167.9823744,0
HMDB0000265,Liothyronine,C15H12I3NO4,650.7900381,0
HMDB0000267,Pyroglutamic acid,C5H7NO3,129.0425931,0
HMDB0000268,Tetrahydrocorticosterone,C21H34O4,350.2457096,0
HMDB0000269,Sphinganine,C18H39NO2,301.2980795,0
HMDB0000272,Phosphoserine,C3H8NO6P,185.0089235,0
HMDB0000273,Thymidine,C10H14N2O5,242.0902716,0
HMDB0000277,Sphingosine 1-phosphate,C18H38NO5P,379.2487598,0
HMDB0000280,Phosphoribosyl pyrophosphate,C5H13O14P3,389.9518147,0
HMDB0000285,Uridine triphosphate,C9H15N2O15P3,483.9685274,0
HMDB0000286,Uridine diphosphate glucose,C15H24N2O17P2,566.0550204,0
HMDB0000288,Uridine 5'-monophosphate,C9H13N2O9P,324.0358665,0
HMDB0000289,Uric acid,C5H4N4O3,168.02834,0
HMDB0000290,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,607.0815695,0
HMDB0000291,Vanillylmandelic acid,C9H10O5,198.0528234,0
HMDB0000292,Xanthine,C5H4N4O2,152.0334254,0
HMDB0000293,Xanthosine 5-triphosphate,C10H15N4O15P3,523.9746754,0
HMDB0000294,Urea,CH4N2O,60.03236276,0
HMDB0000295,Uridine 5'-diphosphate,C9H14N2O12P2,404.0021969,0
HMDB0000296,Uridine,C9H12N2O6,244.0695361,0
HMDB0000299,Xanthosine,C10H12N4O6,284.0756841,0
HMDB0000300,Uracil,C4H4N2O2,112.0272774,0
HMDB0000301,Urocanic acid,C6H6N2O2,138.0429274,0
HMDB0000303,Tryptamine,C10H12N2,160.1000484,0
HMDB0000305,Vitamin A,C20H30O,286.2296656,0
HMDB0000306,Tyramine,C8H11NO,137.084064,0
HMDB0000307,1b-Hydroxycholic acid,C24H40O6,424.282489,0
HMDB0000308,3b-Hydroxy-5-cholenoic acid,C24H38O3,374.2820951,0
HMDB0000309,"3a,16b-Dihydroxyandrostenone",C19H28O3,304.2038448,0
HMDB0000310,Methylacetoacetic acid,C5H8O3,116.0473441,0
HMDB0000312,"3a,7a,12b-Trihydroxy-5b-cholanoic acid",C24H40O5,408.2875744,0
HMDB0000313,16b-Hydroxyestrone,C18H22O3,286.1568946,0
HMDB0000314,3b-Allotetrahydrocortisol,C21H34O5,366.2406242,0
HMDB0000315,16-a-Hydroxypregnenolone,C21H32O3,332.2351449,0
HMDB0000317,2-Hydroxy-3-methylpentanoic acid,C6H12O3,132.0786443,0
HMDB0000318,"3,4-Dihydroxyphenylglycol",C8H10O4,170.0579088,0
HMDB0000319,18-Hydroxycorticosterone,C21H30O5,362.2093241,0
HMDB0000321,2-Hydroxyadipic acid,C6H10O5,162.0528234,0
HMDB0000323,3-Amino-2-piperidone,C5H10N2O,114.079313,0
HMDB0000325,3-Hydroxysuberic acid,C8H14O5,190.0841236,0
HMDB0000328,12-Ketodeoxycholic acid,C24H38O4,390.2770097,0
HMDB0000332,18-Oxocortisol,C21H28O6,376.1885886,0
HMDB0000337,"(S)-3,4-Dihydroxybutyric acid",C4H8O4,120.0422587,0
HMDB0000339,2-Methylbutyrylglycine,C7H13NO3,159.0895433,0
HMDB0000341,2-Octenedioic acid,C8H12O4,172.0735589,0
HMDB0000344,2-Methoxyestradiol-3-methylether,C20H28O3,316.2038448,0
HMDB0000348,"3b,12a-Dihydroxy-5a-cholanoic acid",C24H40O4,392.2926598,0
HMDB0000350,3-Hydroxysebacic acid,C10H18O5,218.1154237,0
HMDB0000351,"3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid",C5H10O3,118.0629942,0
HMDB0000353,"3b,15b,17a-Trihydroxy-pregnenone",C21H32O4,348.2300595,0
HMDB0000359,"3alpha,7alpha-Dihydroxycoprostanic acid",C27H46O4,434.33961,0
HMDB0000362,2-Phosphoglyceric acid,C3H7O7P,185.9929391,0
HMDB0000369,"3b,17b-Dihydroxyetiocholane",C19H32O2,292.2402303,0
HMDB0000370,2-Amino-3-phosphonopropionic acid,C3H8NO5P,169.0140089,0
HMDB0000372,16-Oxoestrone,C18H20O3,284.1412445,0
HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,C9H10O3,166.0629942,0
HMDB0000378,2-Methylbutyroylcarnitine,C12H23NO4,245.1627082,0
HMDB0000379,2-Methylcitric acid,C7H10O7,206.0426527,0
HMDB0000380,2-Hydroxyestradiol-3-methyl ether,C19H26O3,302.1881947,0
HMDB0000381,Allolithocholic acid,C24H40O3,376.2977451,0
HMDB0000385,12a-Hydroxy-3-oxocholadienic acid,C24H34O4,386.2457096,0
HMDB0000386,"3b,16a-Dihydroxyandrostenone sulfate",C19H28O6S,384.1606593,0
HMDB0000387,3-Hydroxydodecanoic acid,C12H24O3,216.1725446,0
HMDB0000389,2'-Deoxysepiapterin,C9H11N5O2,221.0912746,0
HMDB0000391,7-Ketodeoxycholic acid,C24H38O5,406.2719243,0
HMDB0000392,2-Octenoic acid,C8H14O2,142.0993797,0
HMDB0000393,3-Hexenedioic acid,C6H8O4,144.0422587,0
HMDB0000394,3-Hydroxytetradecanedioic acid,C14H26O5,274.1780239,0
HMDB0000401,"2,8-Dihydroxyadenine",C5H5N5O2,167.0443244,0
HMDB0000402,2-Isopropylmalic acid,C7H12O5,176.0684735,0
HMDB0000408,2-Methyl-3-ketovaleric acid,C6H10O3,130.0629942,0
HMDB0000413,3-Hydroxydodecanedioic acid,C12H22O5,246.1467238,0
HMDB0000416,17-Hydroxypregnenolone sulfate,C21H32O6S,412.1919594,0
HMDB0000417,"3D,7D,11D-Phytanic acid",C20H40O2,312.3028305,0
HMDB0000418,18-Hydroxycortisol,C21H30O6,378.2042387,0
HMDB0000421,"2,3-Dihydroxyvaleric acid",C5H10O4,134.0579088,0
HMDB0000422,2-Methylglutaric acid,C6H10O4,146.0579088,0
HMDB0000425,3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid,C9H16O9,268.0794321,0
HMDB0000426,Citramalic acid,C5H8O5,148.0371734,0
HMDB0000430,"24,25-Dihydroxyvitamin D",C27H44O3,416.3290453,0
HMDB0000434,Homoveratric acid,C10H12O4,196.0735589,0
HMDB0000439,2-Furoylglycine,C7H7NO4,169.0375077,0
HMDB0000444,3-Furoic acid,C5H4O3,112.016044,0
HMDB0000445,Alpha-Tetrasaccharide,C26H45NO20,691.2534929,0
HMDB0000447,"7a,12a-Dihydroxy-3-oxo-4-cholenoic acid",C24H36O5,404.2562743,0
HMDB0000450,5-Hydroxylysine,C6H14N2O3,162.1004423,0
HMDB0000451,cis-4-Hydroxycyclohexylacetic acid,C8H14O3,158.0942943,0
HMDB0000453,Delta-Hexanolactone,C6H10O2,114.0680796,0
HMDB0000459,3-Methylcrotonylglycine,C7H11NO3,157.0738932,0
HMDB0000462,Allantoin,C4H6N4O3,158.0439901,0
HMDB0000466,3-Methylindole,C9H9N,131.0734993,0
HMDB0000469,5-Hydroxymethyluracil,C5H6N2O3,142.0378421,0
HMDB0000472,5-Hydroxy-L-tryptophan,C11H12N2O3,220.0847923,0
HMDB0000473,6-Dimethylaminopurine,C7H9N5,163.0857953,0
HMDB0000476,"3-Oxo-4,6-choladienoic acid",C24H34O3,370.250795,0
HMDB0000477,"7Z,10Z-Hexadecadienoic acid",C16H28O2,252.2089301,0
HMDB0000482,Caprylic acid,C8H16O2,144.1150298,0
HMDB0000483,"5b-Cholestane-3a,7a,12a,23S,25-pentol",C27H48O5,452.3501746,0
HMDB0000484,Vanillic acid,C8H8O4,168.0422587,0
HMDB0000486,7-Hydroxyoctanoic acid,C8H16O3,160.1099444,0
HMDB0000489,Aspartylglycosamine,C12H21N3O8,335.1328647,0
HMDB0000494,Stigmastanol,C29H52O,416.4018163,0
HMDB0000496,3-Methoxy-4-hydroxyphenylglycol glucuronide,C15H20O10,360.1056469,0
HMDB0000497,"5,6-Dihydrouridine",C9H14N2O6,246.0851862,0
HMDB0000499,5-Tetradecenoic acid,C14H26O2,226.1932801,0
HMDB0000500,4-Hydroxybenzoic acid,C7H6O3,138.0316941,0
HMDB0000501,7-Ketocholesterol,C27H44O2,400.3341307,0
HMDB0000508,Ribitol,C5H12O5,152.0684735,0
HMDB0000509,Senecioic acid,C5H8O2,100.0524295,0
HMDB0000510,Aminoadipic acid,C6H11NO4,161.0688078,0
HMDB0000511,Capric acid,C10H20O2,172.1463299,0
HMDB0000512,N-Acetyl-L-phenylalanine,C11H13NO3,207.0895433,0
HMDB0000517,L-Arginine,C6H14N4O2,174.1116757,0
HMDB0000520,"5a-Cholestane-3a,7a,12a,25-tetrol",C27H48O4,436.35526,0
HMDB0000523,"5-Androstene-3b,16b,17a-triol",C19H30O3,306.2194948,0
HMDB0000528,"4,5-Dihydroorotic acid",C5H6N2O4,158.0327567,0
HMDB0000530,6-Ketoestriol,C18H22O4,302.1518092,0
HMDB0000532,Acetylglycine,C4H7NO3,117.0425931,0
HMDB0000534,Campestanol,C28H50O,402.3861662,0
HMDB0000536,Adenylsuccinic acid,C14H18N5O11P,463.074043,0
HMDB0000538,Adenosine triphosphate,C10H16N5O13P3,506.9957452,0
HMDB0000539,Arabinonic acid,C5H10O6,166.0477381,0
HMDB0000541,7b-Hydroxy-3-oxo-5b-cholanoic acid,C25H38O4,402.2770097,0
HMDB0000543,Benzenebutanoic acid,C10H12O2,164.0837296,0
HMDB0000544,5-Hydroxymethyl-4-methyluracil,C6H8N2O3,156.0534921,0
HMDB0000545,Chenodeoxycholic acid disulfate,C24H40O10S2,552.2062889,0
HMDB0000548,TG(10:0/10:0/10:0),C33H62O6,554.4546397,0
HMDB0000549,Gamma-Butyrolactone,C4H6O2,86.03677944,0
HMDB0000552,3-Methylglutarylcarnitine,C13H23NO6,289.1525375,0
HMDB0000555,3-Methyladipic acid,C7H12O4,160.0735589,0
HMDB0000559,3-Methoxy-4-hydroxyphenylethyleneglycol sulfate,C9H12O7S,264.0303734,0
HMDB0000560,"5,8-Tetradecadienoic acid",C14H24O2,224.17763,0
HMDB0000561,B-Carotene,C40H56,536.4382018,0
HMDB0000562,Creatinine,C4H7N3O,113.0589119,0
HMDB0000564,PC(16:0/16:0),C40H80NO8P,733.5621551,0
HMDB0000565,Galactonic acid,C6H12O7,196.0583027,0
HMDB0000567,Cinnamic acid,C9H8O2,148.0524295,0
HMDB0000569,Deoxypyridinoline,C18H28N4O7,412.1957993,0
HMDB0000570,Coproporphyrin III,C36H38N4O8,654.2689642,0
HMDB0000572,Desmosine,C24H39N5O8,525.2798632,0
HMDB0000574,L-Cysteine,C3H7NO2S,121.0197492,0
HMDB0000575,DL-Homocystine,C8H16N2O4S2,268.0551484,0
HMDB0000576,Monoethyl malonic acid,C5H8O4,132.0422587,0
HMDB0000577,5beta-Coprostanol,C27H48O,388.3705162,0
HMDB0000579,Deuteroporphyrin IX,C30H30N4O4,510.2267055,0
HMDB0000580,Chondroitin sulfate,C13H21NO15S,463.0631897,0
HMDB0000582,"3,5-Diiodothyronine",C15H13I2NO4,524.8933947,0
HMDB0000583,Docosanamide,C22H45NO,339.3501151,0
HMDB0000585,Glucosylgalactosyl hydroxylysine,C18H34N2O13,486.2060892,0
HMDB0000590,Glutarylglycine,C7H11NO5,189.0637225,0
HMDB0000592,Glucosamine 6-sulfate,C6H13NO8S,259.0361871,0
HMDB0000593,PC(18:1(9Z)/18:1(9Z)),C44H84NO8P,785.5934552,0
HMDB0000594,gamma-Glutamylphenylalanine,C14H18N2O5,294.1215717,0
HMDB0000595,Hydrogen carbonate,CH2O3,62.00039392,0
HMDB0000596,Glucosylsphingosine,C24H47NO7,461.3352529,0
HMDB0000600,Galactosylhydroxylysine,C12H24N2O8,324.1532658,0
HMDB0000601,Coprocholic acid,C27H46O5,450.3345246,0
HMDB0000603,cis-4-Decenedioic acid,C10H16O4,200.104859,0
HMDB0000610,"CE(18:2(9Z,12Z))",C45H76O2,648.5845317,0
HMDB0000613,Erythronic acid,C4H8O5,136.0371734,0
HMDB0000614,PS(16:0/16:0),C38H74NO10P,735.5050346,0
HMDB0000618,D-Ribulose 5-phosphate,C5H11O8P,230.0191538,0
HMDB0000620,Glutaconic acid,C5H6O4,130.0266087,0
HMDB0000623,Dodecanedioic acid,C12H22O4,230.1518092,0
HMDB0000629,Chondroitin,C14H21NO11,379.1114605,0
HMDB0000630,Cytosine,C4H5N3O,111.0432618,0
HMDB0000631,Deoxycholic acid glycine conjugate,C26H43NO5,449.3141235,0
HMDB0000635,Succinylacetone,C7H10O4,158.0579088,0
HMDB0000638,Dodecanoic acid,C12H24O2,200.17763,0
HMDB0000639,Galactaric acid,C6H10O8,210.0375673,0
HMDB0000641,L-Glutamine,C5H10N2O3,146.0691422,0
HMDB0000649,Clionasterol,C29H50O,414.3861662,0
