"ID","mz","MF","Name","category"
1,70.00547931,"C3H2O2","Propynoic acid",0
2,70.04186481,"C4H6O","(E)-2-Butenal",0
3,70.0530982,"C3H6N2","Beta-Aminopropionitrile",0
4,71.03711379,"C3H5NO","Acrylamide",0
5,71.07349929,"C4H9N","Pyrrolidine",0
6,72.02112937,"C3H4O2","Pyruvaldehyde",0
7,72.05751488,"C4H8O","Tetrahydrofuran",0
8,72.09390038,"C5H12","Pentane",0
9,72.99861979,"C2H3NS","Methyl isothiocyanate",0
10,73.05276385,"C3H7NO","3-Aminopropionaldehyde",0
11,73.06399724,"C2H7N3","Methylguanidine",0
12,73.08914936,"C4H11N","1-Butylamine",0
13,74.00039393,"C2H2O3","Glyoxylic acid",0
14,74.01902088,"C3H6S","2-Propene-1-thiol",0
15,74.03677944,"C3H6O2","Propionic acid",0
16,74.04801282,"C2H6N2O","N-Nitrosodimethylamine",0
17,74.07316494,"C4H10O","1-Butanol",0
18,74.08439833,"C3H10N2","1,3-Diaminopropane",0
19,74.97788435,"CHNOS","Hypothiocyanite",0
20,75.03202841,"C2H5NO2","Glycine",0
21,75.06841392,"C3H9NO","Trimethylamine N-oxide",0
22,75.94414138,"CS2","Carbon disulfide",0
23,75.99828544,"C2H4OS","Ethanethioic acid",0
24,76.00951883,"CH4N2S","Thiourea",0
25,76.01604399,"C2H4O3","Peracetic acid",0
26,76.02727738,"CH4N2O2","Hydroxyurea",0
27,76.03467126,"C3H8S","Trimethyl sulfonium",0
28,76.0524295,"C3H8O2","Propylene glycol",0
29,77.02991992,"C2H7NS","Cysteamine",0
30,77.98724243,"C2H3ClO","Chloroacetaldehyde",0
31,78.0139355,"C2H6OS","Dimethyl sulfoxide",0
32,78.04695019,"C6H6","Benzene",0
33,79.04219917,"C5H5N","Pyridine",0
34,79.97544151,"CH4S2","Methanedithiol",0
35,80.00289249,"C2H5ClO","Chloromethyl methyl ether",0
36,80.03744814,"C4H4N2","Pyrimidine",0
37,81.05784923,"C5H7N","1-Methylpyrrole",0
38,81.97246492,"H2O3S","Sulfite",0
39,81.98198059,"H3O3P","Phosphite",0
40,82.04186481,"C5H6O","2-Methylfuran",0
41,82.0530982,"C4H6N2","Fomepizole",0
42,82.07825032,"C6H10","3-Methylcyclopentene",0
43,82.97740598,"ClH2NO2","nitryl chloride",0
