"id","formula","degree","parent","score","parent_formula"
1,"C3H2O2",0,1,1,"C3H2O2"
1,"C4H6O-3S2 Illegal_formula",9,1800,0,"C10H16O2S2"
2,"C4H6O",3,58,0.998304837882433,"C4H6O2"
3,"C3H6N2",4,203,0.997726547767617,"C4H6N2O2"
4,"C3H5NO",3,62,0.998303659538434,"C3H5NO2"
4,"C4H9NO-4S2 Illegal_formula",10,1820,0,"C10H19NOS2"
5,"C4H9N",4,210,0.997728619128346,"C5H9NO2"
5,"C-4H13N3O2S Illegal_formula",20,3319,0,"C12H43N3O3S"
6,"C3H4O2",1,1,0.999433446356929,"C3H2O2"
6,"C4H8O-3S2 Illegal_formula",7,593,0,"C4H8S3"
7,"C4H8O",3,217,0.998296874300045,"C5H8O3"
7,"C4H8O",4,67,0.997737772639239,"C4H8O2"
8,"C5H12",5,220,0.997166012897128,"C6H12O2"
9,"C2H3NS",5,123,0.997115207733558,"C4H7NS"
10,"C3H7NO",4,72,0.997738067328147,"C3H7NO2"
11,"C2H7N3",5,225,0.997180682484074,"C3H7N3O2"
11,"C7H10N-5O5P-1 Illegal_formula",7,4958,0,"C17H22O11"
11,"C7H10N-5O5P-1 Illegal_formula",6,4958,0,"C17H22O11"
12,"C4H11N",5,227,0.997173678551503,"C5H11NO2"
13,"C2H2O3",2,65,0.998867213697413,"C3H4O3"
14,"C3H6S",4,231,0.997684280277324,"C4H6O2S"
15,"C3H6O2",2,6,0.998868688096347,"C3H4O2"
15,"C4H10O-3S2 Illegal_formula",8,615,0,"C4H10S3"
16,"C2H6N2O",5,218,0.997172484329558,"C4H8N2O2"
16,"C3H10N2O-4S2 Illegal_formula",11,1876,0,"C9H20N2OS2"
17,"C4H10O",4,236,0.997743070322854,"C5H10O3"
17,"C4H10O",5,80,0.997172500669321,"C4H10O2"
18,"C3H10N2",6,237,0.996618376843565,"C4H10N2O2"
18,"C11H6O-2S-1 Illegal_formula",11,620,0,"C11H6O"
18,"C11H6O-2S-1 Illegal_formula",9,620,0,"C11H6O"
19,"CHNOS",6,1884,0.996571894463795,"C7H11NO6S"
19,"C2H5NO-4S3 Illegal_formula",13,4615,0,"C13H22N2O5S3"
19,"C2H5NO-4S3 Illegal_formula",12,4615,0,"C13H22N2O5S3"
19,"C9H-3N-1O-1 Illegal_formula",15,4615,0,"C20H14O8"
19,"C9H-3N-1O-1 Illegal_formula",13,4615,0,"C20H14O8"
19,"C9H-3N-1O-1 Illegal_formula",12,4615,0,"C20H14O8"
20,"C2H5NO2",4,72,0.99773747801843,"C3H7NO2"
20,"C3H9NO-3S2 Illegal_formula",10,1888,0,"C9H19NO2S2"
21,"C3H9NO",5,227,0.997173089572787,"C5H11NO2"
22,"H-4O5 Illegal_formula",9,3418,0,"C16H26O6"
22,"H-4O5 Illegal_formula",7,3418,0,"C16H26O6"
22,"H-4O5 Illegal_formula",6,3418,0,"C16H26O6"
23,"C2H4OS",3,246,0.998261919481993,"C3H4O3S"
23,"C2H4OS",4,231,0.997683689537434,"C4H6O2S"
23,"C3H8O-4S3 Illegal_formula",10,1898,0,"C9H18OS3"
23,"C4HN2O-2P Illegal_formula",13,1897,0,"C10H11N2O3P"
23,"C4HN2O-2P Illegal_formula",11,1897,0,"C10H11N2O3P"
24,"CH4N2S",7,1899,0.996014307115431,"C7H14N2O5S"
24,"C2H8N2O-5S3 Illegal_formula",15,1900,0,"C8H18N2S3"
24,"C9O-2 Illegal_formula",13,1900,0,"C15H10O3"
24,"C9O-2 Illegal_formula",11,1900,0,"C15H10O3"
25,"C2H4O3",3,77,0.998304248968986,"C3H6O3"
25,"C3H8O-2S2 Illegal_formula",6,248,0,"C4H8S2"
26,"CH4N2O2",5,142,0.997171911472344,"C3H8N2O2"
27,"C3H8S",5,249,0.9970831277793,"C4H8O2S"
28,"C3H8O2",3,15,0.998302775402156,"C3H6O2"
29,"C2H7NS",5,256,0.997138847675487,"C3H7NO2S"
29,"C3H11NO-5S3 Illegal_formula",14,4660,0,"C14H28N2O4S3"
29,"CH11N-3O4S Illegal_formula",9,5022,0,"C11H23N2O10PS"
29,"C10H3N-1O-2 Illegal_formula",14,4660,0,"C21H20O7"
29,"C9H7N-5O2 Illegal_formula",18,5022,0,"C19H19O8P"
29,"C10H3N-1O-2 Illegal_formula",12,4660,0,"C21H20O7"
29,"C9H7N-5O2 Illegal_formula",13,5022,0,"C19H19O8P"
29,"C9H7N-5O2 Illegal_formula",12,5022,0,"C19H19O8P"
29,"C10H3N-1O-2 Illegal_formula",11,4660,0,"C21H20O7"
29,"C10H3N-1O-2 Illegal_formula",10,4660,0,"C21H20O7"
29,"C9H7N-5O2 Illegal_formula",11,5022,0,"C19H19O8P"
30,"CH3O2P",10,83,0.767648752146805,"C2H5O2P"
30,"CH3O2P",7,89,0.729796691785423,"CH3O3P"
31,"C2H6OS",4,260,0.997678250300947,"C3H6O3S"
