"node1","node2","time_dif","mz_dif","correlation","mz_node1","mz_node2","log10_inten_node1","log10_inten_node2","log10_inten_ratio","category","type","mz_dif_score","time_dif_score","color","Confidence"
1876,1564,6.29999999999242e-05,1.9971,0.999619377524638,195.8111,197.8082,5.38177257350975,5.5059514616409,0.124178888131148,"natural_abundance","37Cl",0.999551468906592,0.999940781081743,5,2.99911162751297
51,591,0.000931000000000015,1.0033,0.999606163204598,223.0285,224.0318,7.25577017024439,5.92484974824767,-1.33092042199672,"natural_abundance","13C",0.999549277188222,0.999952077477788,5,2.99910751787061
128,505,0.000951000000000146,1.0034,0.999410181360165,299.2594,300.2628,6.91390141744882,6.18766192348857,-0.72623949396025,"natural_abundance","13C",0.99969541227185,0.999947300800454,5,2.99905289443247
5,24,0.00093500000000013,1.0034,0.999356226764974,283.2644,284.2678,8.47667669575433,7.77121042655307,-0.705466269201258,"natural_abundance","13C",0.99969541227185,0.999951140291743,5,2.99900277932857
519,2865,0.00101999999999869,1.0034,0.999366363169446,289.1042,290.1076,6.04363482199232,5.12104251895432,-0.922592303038002,"natural_abundance","13C",0.99969541227185,0.999929079806813,5,2.99899085524811
13,212,0.00198000000000143,1.0033,0.999885918541222,156.9908,157.9941,8.00877255671203,6.66491017767005,-1.34386237904198,"natural_abundance","13C",0.999549277188222,0.999395556703317,5,2.99883075243276
3800,12126,0.0015900000000002,1.0033,0.999484264785764,610.1128,611.1161,4.92046831067049,4.23083327218082,-0.689635038489665,"natural_abundance","13C",0.999549277188222,0.999675293966861,5,2.99870883594085
89,559,0.00183999999999962,1.0034,0.999334505685887,352.9451,353.9485,7.08400174945565,6.02727554303626,-1.05672620641939,"natural_abundance","13C",0.99969541227185,0.999505888194759,5,2.9985358061525
97,830,-0.00133999999999901,1.0034,0.999476026466845,191.0198,191.0198,5.77400750845285,7.00326551538467,-1.22925800693182,"natural_abundance","13C",0.99969541227185,0.999019304168462,5,2.99819074290716
7,31,0.00280399999999981,1.0034,0.999850302539399,281.2488,282.2522,8.19358869785836,7.49235829202512,-0.70123040583324,"natural_abundance","13C",0.99969541227185,0.9985214363727,5,2.99806715118395
6495,2115,0.00014999999999965,97.9771,0.999096758336816,257.9695,355.9466,4.70343148500263,5.30779043362553,0.604358948622908,"adduct","H3PO4",0.99898562421251,0.999961183995036,1,2.99804356654436
25,154,0.000939999999999941,1.0033,0.998453902049805,205.1599,206.1632,7.53962464521621,6.71952985119147,-0.820094794024743,"natural_abundance","13C",0.999549277188222,0.999949956047841,5,2.99795313528587
379,810,-0.00135899999999989,60.0211,0.999048679127824,314.2704,314.2704,5.84145366063229,6.29879499564178,-0.457341335009489,"adduct","C2H4O2",0.999897532815273,0.998999175583772,1,2.99794538752687
355,1488,0.00189200000000023,1.0034,0.998761553578346,269.2125,270.2159,6.48031498623153,5.65476189909209,-0.825553087139435,"natural_abundance","13C",0.99969541227185,0.999466203688655,5,2.99792316953885
62,515,-0.00183999999999962,1.0034,0.999792513757005,161.0455,161.0455,6.24604525663601,7.41538272806639,-1.16933747143038,"natural_abundance","13C",0.99969541227185,0.998421632666144,5,2.997909558695
1646,4288,4.0000000000262e-05,37.956,0.99768103515264,238.9105,276.8665,5.26966003072599,4.84501167920878,-0.424648351517203,"H_replacement","K",1,0.999934669747757,3,2.9976157049004
161,780,0.00193500000000002,1.0034,0.998388501656995,239.1292,240.1326,6.71832073666035,5.8305553308671,-0.887765405793251,"natural_abundance","13C",0.99969541227185,0.999432230885409,5,2.99751614481425
42,334,-0.0018950000000002,1.0034,0.999237791211471,143.1077,143.1077,6.40613904492016,7.46644899890321,-1.06030995398305,"natural_abundance","13C",0.99969541227185,0.998347267188275,5,2.9972804706716
378,774,0.00174399999999952,1.0034,0.99794708969577,714.5078,715.5112,6.26268945632501,5.8539134565716,-0.408775999753407,"natural_abundance","13C",0.99969541227185,0.999575127968328,5,2.99721762993595
1048,9666,-0.00121000000000038,1.0034,0.998310351585095,173.0455,173.0455,4.61415992380034,5.74645377618873,-1.13229385238839,"natural_abundance","13C",0.99969541227185,0.999151547734089,5,2.99715731159103
6,29,-0.00280499999999995,1.0033,0.999974447920576,253.2176,253.2176,7.50814785005106,8.2637758743113,-0.755628024260235,"natural_abundance","13C",0.999549277188222,0.996869341905,5,2.9963930670138
2055,6381,0.00215999999999994,-43.9898,0.998367478062159,114.0641,114.0641,5.37497368698595,4.77918413662837,-0.595789550357575,"fragment","-CO2",0.999820785827423,0.99796503550231,2,2.99615329939189
1005,5666,0.000858000000000025,1.0033,0.996573962224813,310.2836,311.2869,5.73636961370182,4.76516493816159,-0.971204675540221,"natural_abundance","13C",0.999549277188222,0.9999675870599,5,2.99609082647293
132,1674,0.00327000000000055,1.0034,0.998337522181986,158.9888,159.9922,6.89125595776044,5.51209816112574,-1.37915779663471,"natural_abundance","13C",0.99969541227185,0.997857281351995,5,2.99589021580583
409,5300,-0.000109999999999388,1.0034,0.996238785041978,117.0193,117.0193,4.7471624170778,6.12812417152104,-1.38096175444324,"natural_abundance","13C",0.99969541227185,0.999887454815975,5,2.9958216521298
7903,11022,0.00374000000000052,97.9672,0.999476245429701,450.7264,548.6936,4.45589270813168,4.27042004529109,-0.18547266284059,"adduct","H2SO4",0.999191116574366,0.997063458296018,1,2.99573082030008
2183,1145,-0.0029779999999997,60.0211,0.999260978987147,286.2391,286.2391,5.61893317763019,5.29560053751786,0.323332640112332,"adduct","C2H4O2",0.999897532815273,0.996535663895325,1,2.99569417569775
19,121,-0.00179499999999999,-18.0105,0.99770740087762,354.2654,372.2759,6.97530078806832,7.77684165771129,-0.801540869642972,"fragment","-H2O",0.998438920977335,0.999538994365313,2,2.99568531622027
911,130,0.00165666666669928,60.02113,0.996146572952918,120.038266666667,180.0594,5.92874544319369,6.97923556094267,1.05049011774898,"adduct","C2H4O2",0.999876442817761,0.999633581564221,1,2.9956565973349
1879,4065,0.00164999999999971,1.0035,0.999159301115043,732.4821,733.4856,5.34162784646308,4.94645485734382,-0.39517298911926,"natural_abundance","13C",0.996824773727368,0.999637866135929,5,2.99562194097834
78,405,-0.00227999999999895,1.0034,0.998047278837577,359.1197,359.1197,6.35768473820203,7.2513179531475,-0.893633214945469,"natural_abundance","13C",0.99969541227185,0.997778923044158,5,2.99552161415359
