"ID","originID"
1,23788
2,17001
3,16470
4,10236
5,2457
6,4959
7,24151
8,21266
9,12524
10,25139
11,8081
12,21720
13,14997
14,90
15,25377
16,16389
17,5469
18,8284
19,4663
20,23056
21,22412
22,1181
23,25230
24,6415
25,18500
26,19624
27,12363
28,3032
29,14758
30,14077
31,666
32,5755
33,21856
34,20181
35,11432
36,17309
37,22388
38,3420
39,19791
40,25381
41,14398
42,2328
43,25676
44,20959
45,23787
46,11532
47,6358
48,7096
49,8825
50,1370
51,26315
52,17908
53,16787
54,21858
55,24465
56,20081
57,6896
58,18424
59,24264
60,65
61,18826
62,11419
63,8208
64,14280
65,16995
66,23366
67,19637
68,3834
69,25828
70,4311
71,21750
72,6471
73,1149
74,20776
75,15080
76,19922
77,25400
78,14237
79,19355
80,22307
81,17369
82,13149
83,557
84,12577
85,2737
86,7054
87,25555
88,15931
89,723
90,18726
91,18079
92,17140
93,6936
94,9307
95,19340
96,10876
97,25803
98,11156
99,16549
100,18264
101,17278
102,34
103,19011
104,24879
105,26046
106,24705
107,16993
108,18325
109,2585
110,19237
111,375
112,21346
113,19788
114,22778
115,17846
116,19603
117,12565
118,14969
119,13841
120,8335
121,12375
122,8440
123,19429
124,1297
125,8457
126,1639
127,392
128,5688
129,7281
130,383
131,2050
132,834
133,539
134,20208
135,8783
136,13542
137,13599
138,25258
139,13654
140,644
141,20493
142,1779
143,20146
144,3896
145,6187
146,9265
147,16896
148,10256
149,805
150,7764
151,25440
152,4517
153,13591
154,6932
155,13838
156,5141
157,17355
158,5771
159,7082
160,21740
161,18573
162,20016
163,14309
164,9149
165,5220
166,792
167,8412
168,21224
169,944
170,11868
171,17036
172,1959
173,11056
174,19370
175,4564
176,20648
177,11029
178,14471
179,17849
180,22950
181,23338
182,25307
183,14411
184,14967
185,1774
186,3713
187,22610
188,16879
189,247
190,15916
191,21785
192,7250
193,23328
194,7964
195,4059
196,3117
197,21731
198,17035
199,22691
200,6021
201,20298
202,17173
203,21551
204,15535
205,17661
206,18067
207,14582
208,43
209,25883
210,14028
211,11162
212,25301
213,10431
214,18937
215,11165
216,25083
217,24582
218,25922
219,24782
220,26280
221,3777
222,17248
223,21482
224,19596
225,23131
226,19268
227,24115
228,13314
229,24307
230,22480
231,7547
232,5144
233,3620
234,671
235,3427
236,22702
237,9207
238,17538
239,19808
240,10847
241,10225
242,22617
243,21128
244,53
245,24063
246,19562
247,22582
248,25299
249,20453
250,3698
251,18052
252,23984
253,3272
254,1903
255,17751
256,14723
257,11049
258,17085
259,10260
260,14849
261,20264
262,13038
263,2500
264,19874
265,8793
266,38
267,21987
268,9683
269,25448
270,4883
271,20300
272,18622
273,26277
274,772
275,15021
276,7827
277,16469
278,19246
279,14060
280,16383
281,11876
282,15556
283,10009
284,6930
285,4486
286,640
287,11008
288,21126
289,16365
290,3701
291,22485
292,20355
293,25092
294,15429
295,20510
296,24189
297,11518
298,20723
299,9284
300,17703
301,7217
302,16237
303,22540
304,9826
305,18411
306,9059
307,17926
308,5272
309,3790
310,222
311,2316
312,22378
313,15819
314,26281
315,742
316,7760
317,7799
318,22845
319,21759
320,25495
321,18906
322,4108
323,23961
324,2360
325,5086
326,1784
327,24225
328,11643
329,10898
330,25569
331,611
332,15800
333,21182
334,18390
335,25366
336,13972
337,1148
338,8943
339,21011
340,23853
341,17959
342,20052
343,3453
344,1749
345,22904
346,9985
347,22601
348,23454
349,17857
350,16935
351,25878
352,6400
353,3591
354,6929
355,16937
356,21989
357,25264
358,21186
359,1092
360,13322
361,627
362,23741
363,14314
364,25215
365,24961
366,790
367,26251
368,17055
369,23377
370,25710
371,24938
372,20322
373,22594
374,91
375,13471
376,22807
377,18235
378,24989
379,6048
380,22916
381,545
382,3863
383,22628
384,7155
385,9069
386,15896
387,14226
388,2290
389,9769
390,588
391,2982
392,19095
393,11922
394,17593
395,1969
396,11730
397,862
398,23184
399,20021
400,25039
401,7816
402,25322
403,21754
404,18277
405,5060
406,19441
407,3871
408,5723
409,12102
410,6317
411,12050
412,5560
413,16905
414,24993
415,17576
416,19149
417,24733
418,12799
419,10446
420,5333
421,10889
422,12818
423,16607
424,10062
425,23901
426,15696
427,15988
428,3318
429,3540
430,17382
431,5558
432,10544
433,26243
434,9478
435,12431
436,10252
437,16258
438,10571
439,17169
440,9807
441,12328
442,13588
443,24360
444,14550
445,16349
446,9935
447,20620
448,10617
449,20013
450,8760
451,22240
452,9900
453,15622
454,16868
455,19643
456,9762
457,8207
458,604
459,25757
460,21167
461,7190
462,17698
463,7234
464,7583
465,12784
466,865
467,1040
468,6136
469,2251
470,7617
471,4936
472,1197
473,7914
474,1931
475,4091
476,18781
477,24384
478,11258
479,19339
480,7888
481,14710
482,15559
483,3909
484,12637
485,1002
486,2576
487,8
488,24009
489,814
490,1778
491,4220
492,2670
493,497
494,691
495,13899
496,2567
497,1280
498,103
499,3858
500,2657
501,6959
502,2688
503,9827
504,1438
505,10281
506,7386
507,9236
508,618
509,478
510,1545
511,187
512,10690
513,1678
514,21353
515,1087
516,15111
517,850
518,12578
519,16901
520,17105
521,10443
522,16099
523,19214
524,15594
525,7910
526,7855
527,12420
528,20498
529,15483
530,12991
531,1641
532,17935
533,10774
534,19909
535,4175
536,2956
537,6793
538,9894
539,9517
540,5828
541,18337
542,8254
543,17803
544,8938
545,17622
546,18371
547,14604
548,6336
549,14890
550,19307
551,7889
552,11994
553,3862
554,9242
555,22987
556,18122
557,5680
558,11829
559,5741
560,12981
561,18869
562,6341
563,20414
564,328
565,1246
566,14793
567,6681
568,21106
569,18714
570,2036
571,8068
572,26017
573,20186
574,17143
575,26336
576,12915
577,24204
578,23448
579,15785
580,19826
581,4881
582,362
583,16102
584,889
585,76
586,14955
587,312
588,2388
589,15592
590,25384
591,5414
592,18354
593,202
594,1128
595,15474
596,17834
597,17449
598,23955
599,19974
600,26220
601,1485
602,22330
603,4988
604,2608
605,23670
606,19818
607,24874
608,3888
609,23529
610,11944
611,17383
612,22001
613,13189
614,25050
615,12436
616,16878
617,5363
618,2235
619,852
620,7833
621,15145
622,6880
623,3554
624,22632
625,11772
626,16574
627,1771
628,1712
629,6235
630,24689
631,24793
632,11409
633,18899
634,87
635,14573
636,6982
637,14705
638,15218
639,3877
640,20853
641,12975
642,3679
643,23680
644,1018
645,23838
646,937
647,20297
648,438
649,23538
650,22871
651,24971
652,969
653,14466
654,15828
655,4681
656,21282
657,18070
658,26146
659,3466
660,16463
661,5391
662,9384
663,21320
664,19944
665,17617
666,10605
667,15366
668,20460
669,15665
670,21448
671,741
672,25031
673,23708
674,22986
675,10806
676,25339
677,2224
678,1437
679,3869
680,26161
681,8532
682,3230
683,23831
684,22244
685,3161
686,12810
687,20040
688,15770
689,21312
690,25020
691,23522
692,25749
693,10338
694,25799
695,435
696,21523
697,3216
698,23643
699,21327
700,7349
701,1974
702,3393
703,21426
704,24186
705,12711
706,17768
707,9975
708,22280
709,9816
710,15229
711,2351
712,22252
713,23890
714,1532
715,21826
716,5400
717,23526
718,17554
719,1215
720,9033
721,7622
722,22776
723,8555
724,15675
725,9471
726,2849
727,9375
728,20906
729,13667
730,19884
731,22409
732,6647
733,17236
734,23486
735,1922
736,18674
737,23592
738,24432
739,482
