"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","artifact","log10_inten","mean_inten","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c","annotation"
23505,414.946,1.140091,NA,NA,0,TRUE,NA,3.63825146139485,4347.61883333333,8610.158,1075,3980.241,1322,6052.772,5045.542,"414.946_1.140091"
12125,250.9818,1.148768,NA,NA,0,TRUE,NA,4.43986305139982,27533.6033333333,45230.67,26944.02,27116.57,23323.9,21503.42,21083.04,"250.9818_1.148768"
25593,311.1139,1.155904,"C15H20O7","Nivalenol",0,TRUE,NA,3.68793831595283,4874.5925,8535.903,7062.457,4653.41,4668.286,1197,3130.499,"C15H20O7_Nivalenol_1.155904"
23668,164.8955,1.164567,NA,NA,0,TRUE,NA,3.81055139893381,6464.745,11229.06,5077.256,6817.225,8374.711,2804.7,4485.518,"164.8955_1.164567"
19394,198.9986,1.167154,NA,NA,0,TRUE,NA,3.81333134760737,6506.259,8498.609,7738.771,8696.242,4773.618,5900.566,3429.748,"198.9986_1.167154"
25893,154.0623,1.168853,"C6H9N3O2","L-Histidine",0,TRUE,NA,3.79865231403507,6290.02416666667,2262,4724.823,4392.317,4688.907,8531.108,13140.99,"C6H9N3O2_L-Histidine_1.168853"
18565,209.9343,1.169281,NA,NA,0,TRUE,NA,3.91631797115802,8247.41733333333,16716.71,7328.992,7353.725,4338.079,7255.855,6491.143,"209.9343_1.169281"
21926,270.0914,1.179166,NA,NA,0,TRUE,NA,3.94197111573993,8749.25583333333,15728.52,7999.206,8160.838,7309.014,8962.194,4335.763,"270.0914_1.179166"
17486,666.5547,1.185549,NA,NA,0,TRUE,NA,3.80039368797067,6315.29566666667,8207.841,5499.242,5624.51,8522.856,4269.868,5767.457,"666.5547_1.185549"
24417,193.0902,1.186246,NA,NA,0,TRUE,NA,3.83600734297576,6854.99816666667,8008.378,10991.38,5712.401,7686.824,6206.645,2524.361,"193.0902_1.186246"
24963,340.1042,1.187643,NA,NA,1.66082691436608,TRUE,NA,3.85498958321284,7161.26233333333,10357.59,9275.32,8298.202,4627.815,4328.326,6080.321,"340.1042_1.187643"
21770,288.9092,1.191395,NA,NA,0,TRUE,"37Cl(2.74937118717601) of 15311",3.72316418371126,5286.45066666667,13153.64,2204,3183.481,2686.114,5074.848,5416.621,"artifact_288.9092_1.191395"
18755,125.0437,1.194445,NA,NA,0,TRUE,NA,3.33418206458454,2158.64916666667,3226.14,825,3699.302,2916.453,1970,315,"125.0437_1.194445"
23733,408.1333,1.197278,NA,NA,0,TRUE,NA,3.76026580253021,5757.92233333333,9798.931,5839.984,4545.454,5058.567,3523.755,5780.843,"408.1333_1.197278"
18281,387.0052,1.208963,NA,NA,0,TRUE,NA,3.80349525131177,6360.5585,9265.397,7532.549,3476.553,6069.915,6924.057,4894.88,"387.0052_1.208963"
22186,313.145,1.210184,"C19H22O4","Menadiol dibutyrate",0,TRUE,NA,3.97132956770493,9361.15783333333,13665.7,14998.79,5995.1,7362.251,6786.701,7358.405,"C19H22O4_Menadiol dibutyrate_1.210184"
16433,294.9714,1.210967,NA,NA,0,FALSE,NA,4.08302005921204,12106.5405,3533.234,29231.86,20271.63,12547.77,6268.749,786,"294.9714_1.210967"
20212,272.2315,1.210973,NA,NA,0,TRUE,NA,3.91723813748,8264.91016666667,16571.16,7656.969,6524.042,8755.017,4549.559,5532.714,"272.2315_1.210973"
15311,286.9122,1.217373,NA,NA,0,TRUE,NA,4.23345991434111,17118.2716666667,29767.66,11905.8,15789.51,16295.36,13772.85,15178.45,"286.9122_1.217373"
19263,196.9043,1.218196,NA,NA,0,TRUE,NA,4.36710515075246,23286.55,30753.44,13635.01,21987.34,19132.96,29040.21,25170.34,"196.9043_1.218196"
20097,334.9386,1.221669,NA,NA,0,TRUE,NA,3.86522031403397,7331.96383333333,11840.71,5623.83,3420.515,5462.536,10134.37,7509.822,"334.9386_1.221669"
