rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,id
11.86664,427.1083,3.987716903,0,6,0.878586411,Adduct,2CH3COOH,,11046
11.63082,463.3275,4.355554295,0,6,0.960884215,Adduct,C18:0,,8680
14.6006,845.2236,4.320621612,0,28,0.925579759,Adduct,CH2O3,,11091
12.45644,287.0409,3.57809191,0,10,0.961601068,Adduct,CH2O3,,13707
12.94673,251.0774,4.749322876,0,8,0.963979639,Adduct,CH2O3,,7232
13.15506,423.9457,3.709686496,1,7,0.811365583,Adduct,CH2O3,,13110
11.6909,419.1408,4.982031902,0,12,0.928395611,Adduct,CH3COOH,,4891
4.672172,356.1035,4.448606676,5,11,0.956298853,Adduct,CH3COOH,,10097
13.82686,401.13,4.748078549,0,11,0.893459438,Adduct,CH3COOH,,7239
12.43563,336.0929,3.919461615,5,9,0.970837197,Adduct,CH3COOH,,13307
11.64661,239.0773,7.386872822,0,6,0.946717544,Adduct,CH3COOH,,54
11.73525,221.0667,6.221633814,0,6,0.953610649,Adduct,CH3COOH,,480
13.35022,381.9353,5.028998348,1,5,0.988149934,Adduct,CH3COOH,,4309
13.23259,245.0069,4.270702768,0,5,0.938120426,Adduct,CH3COOH,,8062
12.80371,227.0176,3.912789124,0,5,0.982743068,Adduct,CH3COOH,,2485
11.86053,329.0255,3.972407943,0,10,0.812737029,Adduct,CH3COONa,,11700
12.27483,334.0771,3.506022868,5,9,0.987266896,Adduct,CH3COONa,,14046
10.56006,262.0698,3.849159936,1,9,0.942096112,Adduct,CH3COONa,,11444
11.15973,241.0807,4.528514789,2,6,0.99279747,Adduct,CH3COONa,,9201
11.43032,243.0486,4.995413556,0,6,0.93982057,Adduct,CH3COONa,,13935
11.34215,443.01,3.727577675,0,6,0.869501275,Adduct,CH3COONa,,12473
12.81767,288.992,3.925453387,0,5,0.940848719,Adduct,CH3COONa,,12996
12.80371,331.0025,3.670727908,0,5,0.905136442,Adduct,CH3COONa,,13206
12.9999,200.0541,4.242779096,1,4,0.982530903,Adduct,CH3COONa,,11092
12.80371,170.0436,4.364204896,1,3,0.939764707,Adduct,CH3COONa,,10644
13.35659,337.9455,5.659276755,1,5,0.984235728,Adduct,CH3OK,,1389
13.90143,744.0835,4.569804735,7,21,0.873959944,Adduct,Cl-,,11443
