rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,ID
14.62205,483.1332,4.53377724,0,12,0.90970445,Adduct,2CH3COOH,,3731
12.77091,330.0784,3.986205906,1,3,0.975176144,Adduct,2CH3COOH,,10405
3.909739,509.4571,4.845434633,0,16,0.910317704,Adduct,C16:0,,6300
2.318256,509.4575,5.842729064,0,16,0.932925103,Adduct,C16:0,,889
2.302683,537.489,5.83956348,0,18,0.915240294,Adduct,C16:0,,794
11.61944,463.3276,4.551151311,0,6,0.981262798,Adduct,C18:0,,7310
3.893962,537.4887,4.783081412,0,16,0.759969039,Adduct,C18:0,,7239
3.849789,565.5196,4.348427318,0,18,0.938998324,Adduct,C18:0,,8745
2.274656,565.5203,5.664957476,0,18,0.989336534,Adduct,C18:0,,1221
11.76077,493.2441,4.535051225,0,6,0.951793768,Adduct,C20H28O2,,7360
3.884506,553.4263,4.611002352,0,16,0.890444089,Adduct,C20H28O2,,7313
3.830817,581.4573,4.711514482,0,18,0.886984427,Adduct,C20H28O2,,7716
11.63827,493.2805,5.473731684,0,6,0.989085756,Adduct,C20H30O2,,1971
11.42758,493.2443,4.535051225,0,6,0.962964196,Adduct,C20H30O2,,7359
3.824478,595.4731,4.681155338,0,18,0.926118473,Adduct,C20H30O2,,7539
2.321372,809.3792,5.993800764,0,16,0.970329478,Adduct,C26H28N4O8S,,675
2.302683,837.4099,5.761203737,0,18,0.982309637,Adduct,C26H28N4O8S,,1168
2.318256,873.3911,6.026487106,0,16,0.98291391,Adduct,C29H32O15,,626
2.284,901.4224,5.922663273,0,18,0.988579322,Adduct,C29H32O15,,808
14.13742,244.0592,4.712956791,1,5,0.97336667,Adduct,CH2O3,,7619
13.37225,521.8262,3.935675807,1,5,0.95414049,Adduct,CH2O3,,11658
13.36899,416.073,4.55396995,1,8,0.750844708,Adduct,CH2O3,,8526
12.79722,246.0296,4.916049472,1,3,0.987466026,Adduct,CH2O3,,5532
10.92342,274.0609,4.49365644,1,5,0.879716583,Adduct,CH2O3,,9332
16.58461,255.1076,5.550043425,4,6,0.987209659,Adduct,CH3COOH,,1822
16.5593,407.2373,4.243368055,8,12,0.95080921,Adduct,CH3COOH,,11158
14.8946,356.1036,4.319790224,5,11,0.997336978,Adduct,CH3COOH,,10124
14.61145,563.1827,4.01856728,0,18,0.936653082,Adduct,CH3COOH,,12403
14.15773,503.0786,4.27834978,0,12,0.958478677,Adduct,CH3COOH,,10680
14.10342,406.0861,4.21269505,1,5,0.897118563,Adduct,CH3COOH,,10745
14.04277,773.0457,3.877937638,6,20,0.843543315,Adduct,CH3COOH,,12282
14.02577,341.0255,5.718232003,0,6,0.988149628,Adduct,CH3COOH,,1269
14.01578,324.9684,4.541402142,0,2,0.812047528,Adduct,CH3COOH,,8725
14.01252,771.049,4.318486005,6,20,0.893529195,Adduct,CH3COOH,,9829
14.00544,631.9554,4.408782197,5,10,0.877491139,Adduct,CH3COOH,,9914
13.98239,306.9608,4.904641512,0,6,0.943595601,Adduct,CH3COOH,,5314
13.97903,273.0229,4.404472641,0,6,0.909781344,Adduct,CH3COOH,,9425
13.96249,308.9562,4.443492704,0,6,0.951245536,Adduct,CH3COOH,,9526
13.86015,214.0334,4.562175667,1,4,0.97566649,Adduct,CH3COOH,,8201
13.77643,262.0932,4.502943823,1,8,0.905576947,Adduct,CH3COOH,,7199
13.37555,516.0289,3.884003578,1,8,0.869020795,Adduct,CH3COOH,,12797
13.37193,481.8913,4.046386184,1,5,0.93030198,Adduct,CH3COOH,,11338
13.35886,381.9351,4.931641519,1,5,0.984454988,Adduct,CH3COOH,,5887
13.33926,383.9333,4.264418837,1,5,0.958665515,Adduct,CH3COOH,,10313
13.20658,227.065,5.685018165,2,5,0.947553818,Adduct,CH3COOH,,1399
12.96483,446.0631,3.563053161,1,4,0.915161767,Adduct,CH3COOH,,14052
12.83689,323.0395,4.198699813,2,7,0.927490175,Adduct,CH3COOH,,10942
12.80386,265.9978,4.776212135,1,3,0.960569197,Adduct,CH3COOH,,7219
12.79394,375.0319,4.348485921,2,6,0.961514613,Adduct,CH3COOH,,10216
12.79066,264.0024,5.185627941,1,3,0.989559958,Adduct,CH3COOH,,3578
12.77409,227.0174,4.002982516,0,5,0.979039053,Adduct,CH3COOH,,9570
12.06976,256.0802,4.285801035,1,7,0.994632517,Adduct,CH3COOH,,10559
11.8534,313.1142,4.399141192,0,8,0.975700656,Adduct,CH3COOH,,773
11.69787,221.0667,6.622992345,0,6,0.985591329,Adduct,CH3COOH,,249
11.63513,239.0773,7.727783282,0,6,0.987736236,Adduct,CH3COOH,,32
11.61945,419.1407,5.449281505,0,12,0.981788448,Adduct,CH3COOH,,2118
11.03849,214.0335,4.101525189,1,3,0.950042746,Adduct,CH3COOH,,12048
10.552,344.0728,3.922215044,1,9,0.989994259,Adduct,CH3COOH,,12855
10.52725,262.0697,4.712757926,1,9,0.996991171,Adduct,CH3COOH,,7558
9.558696,211.0824,4.914670391,0,5,0.985682715,Adduct,CH3COOH,,5744
9.288974,325.0657,3.690025846,2,9,0.912795314,Adduct,CH3COOH,,13341
7.433273,267.0721,5.041337321,0,6,0.936027826,Adduct,CH3COOH,,1677
7.338829,303.0835,4.364259912,2,9,0.943578749,Adduct,CH3COOH,,9739
7.318973,326.1106,5.028056691,5,10,0.968402336,Adduct,CH3COOH,,5001
7.242683,195.0873,4.647841394,0,5,0.944136886,Adduct,CH3COOH,,8174
4.716317,356.1035,4.966252662,5,11,0.979617717,Adduct,CH3COOH,,5280
4.6537,376.3069,4.803433845,1,18,0.938850604,Adduct,CH3COOH,,6783
4.277584,332.2806,3.958760546,1,16,0.879443404,Adduct,CH3COOH,,12485
